Site,Bottle,datetime,Deployment,ID,EC_uScm,pH,Turbidity_ntu,TP_mgL,TDP_mgL,PO4P_mgL,TN_mgL,TDN_mgL,DON_mgL,NH4N_mgL,NO3N_mgL,DOC_mgL,TSS_mgL,VSS_mgL,ID2,datetime_DLS,Yr
FM,12,2017-06-22T22:15:00Z,2,CMP 139,1.81,7.87,84.6,0.659,0.382,0.319,2.04,1.77,0.72,0.02,1.02,14.1,82,11.7,139,2017-06-22T22:15:00Z,2017
FM,13,2017-06-22T23:15:00Z,2,CMP 140,1.58,8.08,216,0.811,0.23,0.189,1.5,1.24,0.54,0.02,0.68,10.3,204.2,24.7,140,2017-06-22T23:15:00Z,2017
FM,14,2017-06-23T00:15:00Z,2,CMP 141,1.91,7.82,216.9,0.759,0.141,0.1,0.95,0.78,0.42,0.01,0.34,7.9,207.4,24.9,141,2017-06-23T00:15:00Z,2017
FM,15,2017-06-23T01:15:00Z,2,CMP 142,2.53,7.79,131,0.449,0.109,0.081,0.82,0.74,0.45,0.01,0.28,7,135,17,142,2017-06-23T01:15:00Z,2017
FM,16,2017-06-23T02:15:00Z,2,CMP 143,2.66,7.66,66.6,0.297,0.103,0.089,0.7,0.65,0.38,0.02,0.24,6.8,57.4,8.5,143,2017-06-23T02:15:00Z,2017
FM,17,2017-06-23T03:15:00Z,2,CMP 144,2.14,7.6,150,0.544,0.134,0.102,1,0.73,0.41,0.02,0.3,7.8,147.3,19,144,2017-06-23T03:15:00Z,2017
FM,18,2017-06-23T04:15:00Z,2,CMP 145,1.79,7.62,235,0.954,0.23,0.184,1.46,1.05,0.5,0.02,0.53,9.2,237.9,42.4,145,2017-06-23T04:15:00Z,2017
FM,19,2017-06-23T05:15:00Z,2,CMP 146,1.89,7.62,160,0.858,0.344,0.267,1.84,1.49,0.73,0.03,0.73,12.7,156.3,23.2,146,2017-06-23T05:15:00Z,2017
FM,20,2017-06-23T06:15:00Z,2,CMP 147,2.04,7.69,92.5,0.697,0.363,0.302,1.75,1.47,0.74,0.03,0.7,14.7,86.8,13.8,147,2017-06-23T06:15:00Z,2017
FM,21,2017-06-23T07:15:00Z,2,CMP 148,2.29,7.68,64.8,0.668,0.388,0.32,1.9,1.43,0.79,0.02,0.63,16.7,54.3,10,148,2017-06-23T07:15:00Z,2017
FM,22,2017-06-23T08:15:00Z,2,CMP 149,2.5,7.69,87.7,0.839,0.395,0.328,2.14,1.47,0.88,0.02,0.56,18.1,81.4,15.3,149,2017-06-23T08:15:00Z,2017
