Bottle,datetime,Site,ID,EC_uScm,pH,Turbidity_ntu,filter_mL,filter_g,60C_g,510C_g,Notes,Entered By,QA/QC,DOC_ppm,DOC_rep2,TN_ppm,TN_rep2,NO3_ppm,NO3_rep2,NH4_ppm,NH4_rep2,TP_ppm,TP_rep2,PO4_PPM,PO4_rep2,datetime_DLS,Yr
17,2018-05-08T09:45:00Z,HL,CMP 274,2.762,8.18,55,485,0.1289,0.1545,0.1491,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-08T09:45:00Z,2018
18,2018-05-08T10:45:00Z,HL,CMP 275,2.811,8.18,54,508,0.1277,0.1493,0.1416,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-08T10:45:00Z,2018
19,2018-05-08T11:45:00Z,HL,CMP 276,2.855,8.13,57,510,0.1249,0.1622,0.1576,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-08T11:45:00Z,2018
20,2018-05-08T12:45:00Z,HL,CMP 277,2.845,8.2,85,490,0.1268,0.1544,0.1467,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-08T12:45:00Z,2018
21,2018-05-08T13:45:00Z,HL,CMP 278,2.805,8.11,70,374,0.1289,0.1545,0.1466,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-08T13:45:00Z,2018
22,2018-05-08T14:45:00Z,HL,CMP 279,2.791,8.08,57,591,0.1278,0.1571,0.1512,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-08T14:45:00Z,2018
23,2018-05-08T15:45:00Z,HL,CMP 280,2.766,8.16,53,490,0.13,0.1507,0.1456,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-08T15:45:00Z,2018
24,2018-05-08T16:45:00Z,HL,CMP 281,2.741,8.19,53,503,0.1298,0.2846,0.2788,noted in margin: .1298+.1304,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-08T16:45:00Z,2018
1,2018-05-16T23:15:00Z,PT,CMP 282,2.742,7.93,108,490,0.1274,0.1666,0.1594,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-16T23:15:00Z,2018
2,2018-05-17T00:15:00Z,PT,CMP 283,2.75,8.13,115,520,0.1266,0.1685,0.1611,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-17T00:15:00Z,2018
3,2018-05-17T01:15:00Z,PT,CMP 284,2.699,8.12,89,495,0.1261,0.1609,0.1551,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-17T01:15:00Z,2018
4,2018-05-17T02:15:00Z,PT,CMP 285,2.764,8.11,87,500,0.1282,0.163,0.1567,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-17T02:15:00Z,2018
5,2018-05-17T03:15:00Z,PT,CMP 286,2.722,8.08,88,460,0.1274,0.1609,0.155,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-17T03:15:00Z,2018
6,2018-05-17T04:15:00Z,PT,CMP 287,2.936,8.12,78,475,0.1262,0.1561,0.1506,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-17T04:15:00Z,2018
7,2018-05-17T05:15:00Z,PT,CMP 288,2.944,8.2,71,355,0.1231,0.1471,0.1429,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-17T05:15:00Z,2018
8,2018-05-17T06:15:00Z,PT,CMP 289,2.859,8.16,68,560,0.1267,0.1608,0.1547,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-17T06:15:00Z,2018
9,2018-05-16T07:15:00Z,PT,CMP 290,2.821,8.13,93,420,0.1283,0.162,0.1564,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-16T07:15:00Z,2018
10,2018-05-16T08:15:00Z,PT,CMP 291,2.756,8.1,125,348,0.1288,0.1639,0.1579,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-16T08:15:00Z,2018
11,2018-05-16T09:15:00Z,PT,CMP 292,2.732,8.11,191,400,0.1286,0.1823,0.1753,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-16T09:15:00Z,2018
12,2018-05-16T10:15:00Z,PT,CMP 293,2.736,8.07,156,315,0.1264,0.1664,0.1613,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-16T10:15:00Z,2018
13,2018-05-16T11:15:00Z,PT,CMP 294,2.752,8.02,123,320,0.1295,0.1624,0.1578,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-16T11:15:00Z,2018
14,2018-05-16T12:15:00Z,PT,CMP 295,2.747,7.95,110,400,0.128,0.163,0.1579,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-16T12:15:00Z,2018
15,2018-05-16T13:15:00Z,PT,CMP 296,2.747,7.98,199,360,0.1266,0.1824,0.175,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-16T13:15:00Z,2018
16,2018-05-16T14:15:00Z,PT,CMP 297,2.789,7.94,192,290,0.1268,0.1763,0.1691,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-16T14:15:00Z,2018
17,2018-05-16T15:15:00Z,PT,CMP 298,2.853,8,201,290,0.1234,0.1754,0.1679,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-16T15:15:00Z,2018
18,2018-05-16T16:15:00Z,PT,CMP 299,2.865,8.06,138,305,0.1243,0.1628,0.1563,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-16T16:15:00Z,2018
19,2018-05-16T17:15:00Z,PT,CMP 300,2.94,8.04,89,425,0.1285,0.1626,0.1569,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-16T17:15:00Z,2018
20,2018-05-16T18:15:00Z,PT,CMP 301,2.536,8.12,76,310,0.1251,0.152,0.1475,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-16T18:15:00Z,2018
21,2018-05-16T19:15:00Z,PT,CMP 302,2.897,8.05,78,260,0.1083,0.1462,0.1425,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-16T19:15:00Z,2018
22,2018-05-16T20:15:00Z,PT,CMP 303,2.931,8.07,73,355,0.1255,0.1522,0.1478,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-16T20:15:00Z,2018
23,2018-05-16T21:15:00Z,PT,CMP 304,2.936,8.04,136,335,0.1237,0.1664,0.1596,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-16T21:15:00Z,2018
24,2018-05-16T22:15:00Z,PT,CMP 305,2.854,8.03,149,315,0.1268,0.17,0.164,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-16T22:15:00Z,2018
1,2018-05-16T22:00:00Z,SD,CMP 306,2.723,7.88,164,350,0.1252,0.1711,0.1644,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-16T22:00:00Z,2018
2,2018-05-16T23:00:00Z,SD,CMP 307,2.749,7.89,159,425,0.1249,0.18,0.1717,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-16T23:00:00Z,2018
3,2018-05-17T00:00:00Z,SD,CMP 308,2.779,7.84,151,350,0.126,0.1684,0.1617,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-17T00:00:00Z,2018
4,2018-05-17T01:00:00Z,SD,CMP 309,2.741,7.89,119,375,0.1221,0.1607,0.155,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-17T01:00:00Z,2018
5,2018-05-17T02:00:00Z,SD,CMP 310,2.756,7.88,116,400,0.1239,0.162,0.1557,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-17T02:00:00Z,2018
6,2018-05-17T03:00:00Z,SD,CMP 311,2.753,7.93,119,390,0.1253,0.1646,0.1586,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-17T03:00:00Z,2018
7,2018-05-17T04:00:00Z,SD,CMP 312,2.873,7.95,121,380,0.128,0.1696,0.1627,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-17T04:00:00Z,2018
8,2018-05-17T05:00:00Z,SD,CMP 313,2.82,8.02,150,342,0.1253,0.1681,0.1624,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-17T05:00:00Z,2018
9,2018-05-17T06:00:00Z,SD,CMP 314,2.755,7.99,114,375,0.1248,0.149,0.1454,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-17T06:00:00Z,2018
10,2018-05-16T07:00:00Z,SD,CMP 315,2.752,7.93,119,450,0.1273,0.1698,0.1643,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-16T07:00:00Z,2018
11,2018-05-16T08:00:00Z,SD,CMP 316,2.724,7.93,145,425,0.1271,0.1749,0.1687,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-16T08:00:00Z,2018
12,2018-05-16T09:00:00Z,SD,CMP 317,2.858,7.86,190,570,0.1265,0.1621,0.1573,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-16T09:00:00Z,2018
13,2018-05-16T10:00:00Z,SD,CMP 318,3.195,7.82,201,223,0.1259,0.1624,0.1577,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-16T10:00:00Z,2018
14,2018-05-16T11:00:00Z,SD,CMP 319,3.324,7.78,157,400,0.126,0.1752,0.1692,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-16T11:00:00Z,2018
15,2018-05-16T12:00:00Z,SD,CMP 320,3.044,7.74,130,786,0.1256,0.1649,0.1492,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-16T12:00:00Z,2018
16,2018-05-16T13:00:00Z,SD,CMP 321,2.869,7.81,127,426,0.1259,0.1689,0.1625,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-16T13:00:00Z,2018
17,2018-05-16T14:00:00Z,SD,CMP 322,2.776,7.83,121,412,0.1272,0.1755,0.1611,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-16T14:00:00Z,2018
18,2018-05-16T15:00:00Z,SD,CMP 323,2.783,7.95,137,390,0.1239,0.1659,0.1603,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-16T15:00:00Z,2018
19,2018-05-16T16:00:00Z,SD,CMP 324,2.889,7.9,162,385,0.1227,0.1671,0.1612,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-16T16:00:00Z,2018
20,2018-05-16T17:00:00Z,SD,CMP 325,3.052,7.84,112,355,0.1268,0.1722,0.1658,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-16T17:00:00Z,2018
21,2018-05-16T18:00:00Z,SD,CMP 326,3.162,7.88,174,320,0.1291,0.1697,0.1634,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-16T18:00:00Z,2018
22,2018-05-16T19:00:00Z,SD,CMP 327,3.353,7.77,187,450,0.1278,0.1893,0.1805,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-16T19:00:00Z,2018
23,2018-05-16T20:00:00Z,SD,CMP 328,3.287,7.74,194,415,0.1282,0.1839,0.1761,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-16T20:00:00Z,2018
24,2018-05-16T21:00:00Z,SD,CMP 329,3.052,7.89,189,371,0.1256,0.1872,0.1794,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-16T21:00:00Z,2018
1,2018-05-29T21:30:00Z,FM,CMP 369,3.318,8.12,108,410,0.131,0.1823,0.1642,NA,LF,CN,14.3,NA,2.34,NA,1.77,NA,0,NA,0.873,NA,0.405,NA,2018-05-29T21:30:00Z,2018
2,2018-05-29T22:30:00Z,FM,CMP 370,3.427,8.06,100,415,0.1279,0.1738,0.1557,NA,LF,CN,12.9,13,2.2,NA,1.7,NA,0.03,NA,0.902,NA,0.405,NA,2018-05-29T22:30:00Z,2018
3,2018-05-29T23:30:00Z,FM,CMP 371,3.445,8.09,84,380,0.128,0.1588,0.1492,NA,LF,CN,14.9,NA,2.32,NA,1.64,NA,0,NA,0.863,NA,0.395,NA,2018-05-29T23:30:00Z,2018
4,2018-05-30T00:30:00Z,FM,CMP 372,3.411,8.1,71,425,0.1298,0.1603,0.154,NA,LF,CN,14.7,NA,2.39,NA,1.74,NA,0.05,NA,0.805,NA,0.427,NA,2018-05-30T00:30:00Z,2018
5,2018-05-30T01:30:00Z,FM,CMP 373,3.33,8.16,66,375,0.1293,0.1622,0.1483,NA,LF,CN,15.1,NA,2.52,2.45,1.86,NA,0.03,NA,0.795,NA,0.461,NA,2018-05-30T01:30:00Z,2018
6,2018-05-30T02:30:00Z,FM,CMP 374,3.222,8.22,60,410,0.1316,0.1631,0.1522,NA,LF,CN,15,NA,2.7,NA,2.02,1.96,0.06,NA,0.892,NA,0.512,NA,2018-05-30T02:30:00Z,2018
7,2018-05-30T03:30:00Z,FM,CMP 375,3.249,8.2,56,455,0.1306,0.1595,0.1501,NA,LF,CN,15.8,NA,2.74,NA,2.11,NA,0.06,NA,0.95,1.007,0.547,NA,2018-05-30T03:30:00Z,2018
8,2018-05-30T04:30:00Z,FM,CMP 376,3.21,8.22,57,330,0.1309,0.1656,0.1469,NA,LF,CN,14.9,NA,2.59,NA,1.97,NA,0.07,NA,0.853,NA,0.546,NA,2018-05-30T04:30:00Z,2018
9,2018-05-30T05:30:00Z,FM,CMP 377,3.253,8.19,66,415,0.1294,0.1572,0.1512,NA,LF,CN,14.1,NA,2.8,NA,1.95,NA,0.07,0.07,0.892,NA,0.504,0.501,2018-05-30T05:30:00Z,2018
10,2018-05-30T06:30:00Z,FM,CMP 378,3.31,8.2,62,460,0.1301,0.1645,0.1448,NA,LF,CN,16.1,NA,2.59,NA,1.89,NA,0.06,NA,0.921,NA,0.484,NA,2018-05-30T06:30:00Z,2018
11,2018-05-29T07:30:00Z,FM,CMP 379,3.393,8.16,76,520,0.1209,0.1682,0.15,NA,LF,CN,14.8,NA,2.45,NA,1.7,NA,0.08,NA,0.805,NA,0.426,NA,2018-05-29T07:30:00Z,2018
12,2018-05-29T08:30:00Z,FM,CMP 380,3.506,8.22,88,390,0.1285,0.1597,0.1548,NA,LF,CN,12.1,12.2,2.11,NA,1.56,NA,0.07,NA,0.737,NA,0.394,NA,2018-05-29T08:30:00Z,2018
13,2018-05-29T09:30:00Z,FM,CMP 381,3.69,8.1,80,390,0.1287,0.1606,0.1519,NA,LF,CN,13.1,NA,2.01,NA,1.46,NA,0.06,NA,0.747,NA,0.333,NA,2018-05-29T09:30:00Z,2018
14,2018-05-29T10:30:00Z,FM,CMP 382,3.764,8.07,79,360,0.1282,0.151,0.1471,NA,LF,CN,12.7,NA,1.93,1.93,1.31,NA,0,NA,0.699,NA,0.299,NA,2018-05-29T10:30:00Z,2018
15,2018-05-29T11:30:00Z,FM,CMP 383,3.766,8.11,72,580,0.1284,0.1731,0.1576,NA,LF,CN,12.7,NA,1.84,NA,1.34,1.4,0.09,NA,0.824,NA,0.32,NA,2018-05-29T11:30:00Z,2018
16,2018-05-29T12:30:00Z,FM,CMP 384,3.656,8.13,72,430,0.1291,0.1123,0.1541,60 furnace measurement seems off (LF),LF,CN,13,NA,2.48,NA,1.49,NA,0,NA,0.776,0.834,0.321,NA,2018-05-29T12:30:00Z,2018
17,2018-05-29T13:30:00Z,FM,CMP 385,3.426,8.16,95,370,0.1296,0.1636,0.1559,NA,LF,CN,13.8,NA,2.27,NA,1.63,NA,0,NA,0.95,NA,0.408,NA,2018-05-29T13:30:00Z,2018
18,2018-05-29T14:30:00Z,FM,CMP 386,3.321,8.19,101,370,0.1302,0.1753,0.159,NA,LF,CN,14.5,NA,2.35,NA,1.77,NA,0.04,0.04,1.094,NA,0.473,0.469,2018-05-29T14:30:00Z,2018
19,2018-05-29T15:30:00Z,FM,CMP 387,3.296,8.19,81,410,0.1287,0.1933,0.1549,NA,LF,CN,13.4,NA,2.27,NA,1.73,NA,0,NA,1.055,NA,0.489,NA,2018-05-29T15:30:00Z,2018
20,2018-05-29T16:30:00Z,FM,CMP 388,3.32,8.19,69,520,0.129,0.161,0.1446,NA,LF,CN,15.5,NA,2.18,NA,1.53,NA,0.04,NA,1.007,NA,0.506,NA,2018-05-29T16:30:00Z,2018
21,2018-05-29T17:30:00Z,FM,CMP 389,3.383,8.17,64,540,0.1285,0.1753,0.1509,NA,LF,CN,16.3,NA,2.1,NA,1.43,NA,0.02,NA,0.931,NA,0.489,NA,2018-05-29T17:30:00Z,2018
22,2018-05-29T18:30:00Z,FM,CMP 390,3.421,8.12,69,490,0.1294,0.1872,0.1581,NA,LF,CN,16.1,16,2.19,NA,1.42,NA,0,NA,0.94,NA,0.51,NA,2018-05-29T18:30:00Z,2018
23,2018-05-29T19:30:00Z,FM,CMP 391,3.367,8.17,80,445,0.1293,0.1898,0.1537,NA,LF,CN,16.3,NA,2.29,2.27,1.45,NA,0,NA,0.94,NA,0.492,NA,2018-05-29T19:30:00Z,2018
24,2018-05-29T20:30:00Z,FM,CMP 392,3.286,8.2,109,540,0.1282,0.2047,0.1674,NA,LF,CN,15.5,NA,2.44,NA,1.81,1.86,0,NA,1.209,NA,0.512,NA,2018-05-29T20:30:00Z,2018
1,2018-05-29T22:00:00Z,HL,CMP 393,4.03,7.78,103,370,0.1281,0.2025,0.1855,NA,LF,CN,19.4,NA,1.5,NA,0.56,NA,0,NA,0.721,0.776,0.08,NA,2018-05-29T22:00:00Z,2018
2,2018-05-29T23:00:00Z,HL,CMP 394,4.151,7.76,382,350,0.1276,0.2371,0.2195,NA,LF,CN,10.7,NA,0.95,NA,0.44,NA,0,NA,0.757,NA,0.078,NA,2018-05-29T23:00:00Z,2018
3,2018-05-30T00:00:00Z,HL,CMP 395,4.172,7.77,364,405,0.1281,0.1829,0.1696,NA,LF,CN,10.1,NA,0.98,NA,0.43,NA,0,0,0.533,NA,0.08,0.078,2018-05-30T00:00:00Z,2018
4,2018-05-30T01:00:00Z,HL,CMP 396,4.093,7.84,99,525,0.128,0.1826,0.1667,NA,LF,CN,10.7,NA,1.1,NA,0.52,NA,0,NA,0.387,NA,0.097,NA,2018-05-30T01:00:00Z,2018
5,2018-05-30T02:00:00Z,HL,CMP 397,3.852,7.96,88,420,0.124,0.1546,0.1534,NA,LF,CN,12.6,NA,1.58,NA,0.91,NA,0,NA,0.533,NA,0.199,NA,2018-05-30T02:00:00Z,2018
6,2018-05-30T03:00:00Z,HL,CMP 398,3.665,8.09,82,480,0.1397,0.1183,0.1563,60 furnace measurement seems off (LF),LF,CN,13.2,NA,1.89,NA,1.29,NA,0.01,NA,0.611,NA,0.297,NA,2018-05-30T03:00:00Z,2018
7,2018-05-30T04:00:00Z,HL,CMP 399,3.587,8.11,75,475,0.1264,0.1568,0.1518,NA,LF,CN,14.3,NA,2.14,NA,1.4,NA,0,NA,0.679,NA,0.329,NA,2018-05-30T04:00:00Z,2018
8,2018-05-30T05:00:00Z,HL,CMP 400,3.632,8.09,194,336,0.1285,0.2002,0.1864,NA,LF,CN,13.9,14,1.97,1.97,1.31,NA,0.03,NA,0.776,NA,0.348,NA,2018-05-30T05:00:00Z,2018
9,2018-05-30T06:00:00Z,HL,CMP 401,3.853,7.97,120,407,0.1294,0.2974,0.2757,NA,LF,CN,12.5,NA,2.79,NA,2.13,2.12,0,NA,0.737,NA,0.216,NA,2018-05-30T06:00:00Z,2018
10,2018-05-29T07:00:00Z,HL,CMP 402,3.87,8.07,198,387,0.1309,0.1898,0.1809,NA,LF,CN,12,NA,3.69,NA,2.76,NA,0.07,NA,0.95,0.95,0.272,NA,2018-05-29T07:00:00Z,2018
11,2018-05-29T08:00:00Z,HL,CMP 403,4.014,8.02,237,355,0.1365,0.2194,0.2081,NA,LF,CN,11.4,NA,3.54,NA,2.56,NA,0.05,NA,0.66,NA,0.248,NA,2018-05-29T08:00:00Z,2018
12,2018-05-29T09:00:00Z,HL,CMP 404,4.267,8.1,351,330,0.1306,0.2064,0.185,NA,LF,CN,10.8,NA,3.53,NA,2.14,NA,0.07,0.06,1.237,NA,0.227,0.228,2018-05-29T09:00:00Z,2018
13,2018-05-29T10:00:00Z,HL,CMP 405,5.175,7.9,336,630,0.1376,0.1943,0.1803,NA,LF,CN,8.8,NA,3.06,NA,1.57,NA,0.01,NA,0.708,NA,0.134,NA,2018-05-29T10:00:00Z,2018
14,2018-05-29T11:00:00Z,HL,CMP 406,5.532,8.04,241,365,0.1479,0.1965,0.1924,NA,LF,CN,8.2,NA,3.01,NA,1.35,NA,0,NA,0.718,NA,0.104,NA,2018-05-29T11:00:00Z,2018
15,2018-05-29T12:00:00Z,HL,CMP 407,5.67,7.92,239,395,0.1231,0.2538,0.2057,NA,LF,CN,7.8,NA,4,NA,3.01,NA,0,NA,0.795,NA,0.104,NA,2018-05-29T12:00:00Z,2018
16,2018-05-29T13:00:00Z,HL,CMP 408,4.992,7.92,223,445,0.1157,0.1875,0.1816,NA,LF,CN,9.3,NA,3.22,NA,1.71,NA,0.01,NA,0.795,NA,0.148,NA,2018-05-29T13:00:00Z,2018
17,2018-05-29T14:00:00Z,HL,CMP 409,4.107,7.94,130,509,0.1288,0.1733,0.1696,NA,LF,CN,11.7,NA,3.69,3.69,2.28,NA,0,NA,0.572,NA,0.224,NA,2018-05-29T14:00:00Z,2018
18,2018-05-29T15:00:00Z,HL,CMP 410,3.928,7.93,129,465,0.1289,0.1909,0.1766,NA,LF,CN,13,13,3.61,NA,2.46,2.43,0,NA,0.65,NA,0.257,NA,2018-05-29T15:00:00Z,2018
19,2018-05-29T16:00:00Z,HL,CMP 411,3.873,7.92,135,435,0.127,0.2029,0.1857,NA,LF,CN,13.5,NA,3.76,NA,2.38,NA,0,NA,0.795,0.795,0.272,NA,2018-05-29T16:00:00Z,2018
20,2018-05-29T17:00:00Z,HL,CMP 412,3.951,7.84,94,440,0.1271,0.183,0.1728,NA,LF,CN,14.7,NA,3.73,NA,2.29,NA,0.02,NA,0.766,NA,0.294,NA,2018-05-29T17:00:00Z,2018
21,2018-05-29T18:00:00Z,HL,CMP 413,4.095,7.91,234,481,0.127,0.1935,0.1832,NA,LF,CN,15.7,NA,3.53,NA,2.12,NA,0.01,0.01,0.621,NA,0.291,0.291,2018-05-29T18:00:00Z,2018
22,2018-05-29T19:00:00Z,HL,CMP 414,4.137,7.87,203,430,0.127,0.2039,0.1925,NA,LF,CN,16.7,NA,3.81,NA,2.06,NA,0.02,NA,0.988,NA,0.315,NA,2018-05-29T19:00:00Z,2018
23,2018-05-29T20:00:00Z,HL,CMP 415,4.042,8.01,277,395,0.129,0.2331,0.2175,NA,LF,CN,15.5,NA,3.88,NA,2.25,NA,0.02,NA,0.921,NA,0.293,NA,2018-05-29T20:00:00Z,2018
24,2018-05-29T21:00:00Z,HL,CMP 416,3.848,7.96,300,165,0.1274,0.1962,0.1969,NA,LF,CN,14.2,NA,3.63,3.55,2.74,NA,0.02,NA,1.701,NA,0.309,NA,2018-05-29T21:00:00Z,2018
1,2018-06-12T21:45:00Z,FM,CMP 417,4.418,7.69,300,470,0.1268,0.1642,0.1583,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-12T21:45:00Z,2018
2,2018-06-12T22:45:00Z,FM,CMP 418,5.033,7.6,350,375,0.1393,0.2403,0.2256,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-12T22:45:00Z,2018
3,2018-06-12T23:45:00Z,FM,CMP 419,4.723,7.62,168,440,0.1267,0.1965,0.1864,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-12T23:45:00Z,2018
4,2018-06-13T00:45:00Z,FM,CMP 420,4.486,7.66,538,300,0.1225,0.2641,0.2479,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-13T00:45:00Z,2018
5,2018-06-13T01:45:00Z,FM,CMP 421,4.253,7.75,306,355,0.1255,0.2294,0.2177,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-13T01:45:00Z,2018
6,2018-06-13T02:45:00Z,FM,CMP 422,4.223,7.89,249,350,0.1317,0.2041,0.1943,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-13T02:45:00Z,2018
7,2018-06-13T03:45:00Z,FM,CMP 423,4.598,7.72,425,390,0.1259,0.2545,0.2387,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-13T03:45:00Z,2018
8,2018-06-13T04:45:00Z,FM,CMP 424,4.297,7.82,262,300,0.1221,0.216,0.2054,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-13T04:45:00Z,2018
9,2018-06-13T05:45:00Z,FM,CMP 425,4.648,7.76,191,350,0.1298,0.197,0.1885,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-13T05:45:00Z,2018
10,2018-06-13T06:45:00Z,FM,CMP 426,5.045,7.67,343,375,0.1277,0.2333,0.2208,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-13T06:45:00Z,2018
11,2018-06-12T07:45:00Z,FM,CMP 427,4.976,7.74,307,290,0.1317,0.2334,0.2209,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-12T07:45:00Z,2018
12,2018-06-12T08:45:00Z,FM,CMP 428,6.804,7.74,373,300,0.1319,0.2232,0.2121,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-12T08:45:00Z,2018
