Bottle,Date,Site,ID,DOC_ppm,DOC_rep2,TN_ppm,TN_rep2,NO3_ppm,NO3_rep2,NH4_ppm,NH4_rep2,TP_ppm,TP_rep2,PO4_PPM,PO4_rep2
19,7/10/2018,FM,CMP 627,17.9,,1.84,,0.80,,0.01,,0.465,,0.347,
20,7/10/2018,FM,CMP 628,13.5,13.5,2.42,,1.35,,0.09,,0.661,,0.491,
21,7/10/2018,FM,CMP 629,12.3,,2.12,,1.38,,0.08,,0.488,,0.414,
22,7/10/2018,FM,CMP 630,14.0,,1.93,,0.83,,0.02,,0.473,,0.278,
23,7/10/2018,FM,CMP 631,12.3,,1.34,1.38,0.51,,0.02,,0.349,,0.161,
24,7/10/2018,FM,CMP 632,11.5,,1.13,,0.42,,0.00,,0.182,,0.125,
1,7/10/2018,SD,CMP 633,12.8,,1.97,,1.05,,0.00,,0.427,,0.375,0.373
2,7/10/2018,SD,CMP 634,13.4,,1.63,,1.03,,0.04,,0.367,0.367,0.287,
3,7/10/2018,SD,CMP 635,14.7,,1.97,,1.24,1.16,0.08,0.07,0.391,,0.373,
4,7/10/2018,SD,CMP 636,14.3,,2.27,,1.30,,0.06,,0.414,,0.399,
5,7/10/2018,SD,CMP 637,13.7,,2.10,,1.28,,0.07,,0.487,,0.465,
6,7/10/2018,SD,CMP 638,14.9,,2.05,,1.35,,0.07,,0.416,,0.407,
7,7/10/2018,SD,CMP 639,13.6,,1.92,,1.15,,0.08,,0.379,,0.331,
8,7/10/2018,SD,CMP 640,11.9,11.7,1.66,1.60,0.92,,0.13,,0.349,,0.265,
9,7/10/2018,SD,CMP 641,10.4,,1.49,,0.80,,0.07,,0.238,,0.215,
10,7/10/2018,SD,CMP 642,9.1,,1.29,,0.70,,0.07,,0.195,,0.184,0.183
11,7/10/2018,SD,CMP 643,8.2,,1.20,,0.59,,0.06,,0.171,0.171,0.153,
12,7/10/2018,SD,CMP 644,7.4,,1.29,,0.57,0.57,0.04,0.04,0.151,,0.145,
13,7/10/2018,SD,CMP 645,9.6,,1.49,,0.85,,0.09,,0.280,,0.256,
14,7/10/2018,SD,CMP 646,10.9,,1.66,,1.00,,0.09,,0.327,,0.316,
15,7/10/2018,SD,CMP 647,12.1,,1.79,,1.12,,0.08,,0.373,,0.356,
16,7/10/2018,SD,CMP 648,13.1,,1.80,,1.17,,0.08,,0.439,,0.403,
17,7/10/2018,SD,CMP 649,14.1,,1.93,1.92,1.19,,0.08,,0.425,,0.419,
18,7/10/2018,SD,CMP 650,14.1,14.0,1.84,,1.04,,0.09,,0.465,,0.436,
19,7/10/2018,SD,CMP 651,15.1,,1.69,,0.87,,0.06,,0.488,,0.420,0.436
20,7/10/2018,SD,CMP 652,15.1,,1.76,,0.81,,0.06,,0.684,0.684,0.416,
21,7/10/2018,SD,CMP 653,14.0,,2.54,,1.63,1.62,0.05,0.05,0.844,,0.489,
22,7/10/2018,SD,CMP 654,13.8,,2.28,,1.36,,0.09,,0.512,,0.396,
23,7/10/2018,SD,CMP 655,11.9,,1.83,,1.10,,0.09,,0.465,,0.326,
24,7/10/2018,SD,CMP 656,11.2,,1.56,,0.95,,0.10,,0.319,,0.283,
1,7/10/2018,HL,CMP 657,14.5,,2.57,,1.98,,0.00,,0.547889285,,0.521,
2,7/10/2018,HL,CMP 658,14.9,,2.49,2.49,1.86,,0.00,,0.5246735,,0.521,
3,7/10/2018,HL,CMP 659,15.0,,2.54,,1.68,,0.00,,0.541691959,,0.496,
4,7/10/2018,HL,CMP 660,15.1,14.9,2.68,,2.11,,0.04,,0.589843942,,0.545,
5,7/10/2018,HL,CMP 661,15.8,,3.09,,2.32,2.32,0.03,,0.641412125,0.652,0.594,
6,7/10/2018,HL,CMP 662,16.6,,2.85,,2.09,2.09,0.03,0.02,0.646115974,,0.646,
7,7/10/2018,HL,CMP 663,17.4,,2.57,,1.74,,0.05,,0.648068224,,0.615,
8,7/10/2018,HL,CMP 664,16.2,,2.68,,1.88,,0.05,,0.67101885,,0.657,
9,7/10/2018,HL,CMP 665,15.5,,2.89,,2.06,,0.04,,0.605976368,,0.598,
10,7/10/2018,HL,CMP 666,14.5,,2.85,,1.83,,0.06,,0.569,,0.525,
11,7/10/2018,HL,CMP 667,12.9,,2.19,2.18,1.47,,0.06,,0.504,,0.429,
12,7/10/2018,HL,CMP 668,11.5,,1.73,,1.23,,0.06,,0.418,,0.353,
13,7/10/2018,HL,CMP 669,10.7,,1.79,,1.10,,0.09,,0.340,,0.311,0.313
14,7/10/2018,HL,CMP 670,10.3,10.4,1.78,,1.02,,0.08,,0.367,0.359,0.293,
15,7/10/2018,HL,CMP 671,10.7,,1.78,,1.07,1.08,0.06,0.06,0.329,,0.310,
16,7/10/2018,HL,CMP 672,12.4,,1.93,,1.30,,0.04,,0.410,,0.382,
17,7/10/2018,HL,CMP 673,13.4,,2.37,,1.63,,0.05,,0.569,,0.492,
18,7/10/2018,HL,CMP 674,15.2,,2.63,,1.79,,0.04,,0.653,,0.548,
19,7/10/2018,HL,CMP 675,15.3,,2.52,,1.65,,0.02,,0.653,,0.570,
20,7/10/2018,HL,CMP 676,16.7,,2.36,,1.37,,0.02,,0.619,,0.596,
21,7/10/2018,HL,CMP 677,18.0,,2.23,,1.21,,0.01,,0.586,,0.565,
22,7/10/2018,HL,CMP 678,18.9,,1.97,,1.14,,0.01,,0.579,,0.562,0.559
23,7/10/2018,HL,CMP 679,18.6,,2.06,,1.26,,0.04,,0.611,0.661,0.559,
24,7/10/2018,HL,CMP 680,16.6,16.6,2.99,,2.11,2.13,0.04,0.05,0.738,,0.643,
1,7/10/2018,PT,CMP 681,15.8,,2.41,,1.58,,0.00,,0.578,,0.523,
2,7/10/2018,PT,CMP 682,15.6,,3.01,,2.27,,0.06,,0.782,,0.635,
3,7/10/2018,PT,CMP 683,14.4,,2.99,,2.10,,0.08,,0.791,,0.595,
4,7/10/2018,PT,CMP 684,14.4,,2.63,,2.02,,0.06,,0.586,,0.579,
5,7/10/2018,PT,CMP 685,14.9,,2.99,,2.24,,0.08,,0.659,,0.635,
6,7/10/2018,PT,CMP 686,15.2,,2.91,,2.15,,0.07,,0.653,,0.634,
7,7/10/2018,PT,CMP 687,14.6,,2.68,,1.66,,0.06,,0.586,,0.553,0.549
8,7/10/2018,PT,CMP 688,16.2,,2.68,,1.54,,0.06,,0.545,0.569,0.525,
9,7/10/2018,PT,CMP 689,15.0,,2.55,2.55,1.59,1.60,0.07,0.08,0.670,,0.525,
10,7/10/2018,PT,CMP 690,15.3,15.5,2.68,,1.82,,0.05,,0.611,,0.568,
11,7/10/2018,PT,CMP 691,14.4,,2.79,,2.03,,0.06,,0.653,,0.593,
12,7/10/2018,PT,CMP 692,12.2,,2.45,,1.69,,0.08,,0.586,,0.498,
13,7/10/2018,PT,CMP 693,11.9,,2.06,,1.27,,0.12,,0.512,,0.483,
14,7/10/2018,PT,CMP 694,10.4,,1.70,,1.15,,0.07,,0.356,,0.335,
15,7/10/2018,PT,CMP 695,9.9,,1.59,,1.10,,0.09,,0.340,,0.314,
16,7/10/2018,PT,CMP 696,9.7,,1.55,,1.05,,0.08,,0.340,,0.304,0.304
17,7/10/2018,PT,CMP 697,10.7,,1.85,1.82,1.16,,0.08,,0.529,0.504,0.364,
18,7/10/2018,PT,CMP 698,12.5,,2.34,,1.47,1.49,0.08,0.08,0.602,,0.475,
19,7/10/2018,PT,CMP 699,14.6,,2.77,,1.74,,0.06,,0.890,,0.548,
20,7/10/2018,PT,CMP 700,15.7,16.0,2.85,,1.76,,0.06,,0.765,,0.565,
21,7/10/2018,PT,CMP 701,16.9,,2.78,,1.70,,0.05,,0.765,,0.546,
22,7/10/2018,PT,CMP 702,17.6,,2.69,,1.63,,0.08,,0.721,,0.549,
23,7/10/2018,PT,CMP 703,17.8,,2.67,,1.60,,0.07,,0.712,,0.537,
24,7/10/2018,PT,CMP 704,17.7,,2.82,2.79,1.58,1.58,0.07,0.08,0.765,0.756,0.523,
1,7/17/2018,FM,CMP 705,14.0,,1.66,,0.81,,0.01,,0.279,,0.220,
2,7/17/2018,FM,CMP 706,10.4,,1.43,,0.91,,0.02,,0.279,,0.265,
3,7/17/2018,FM,CMP 707,10.2,,1.39,,0.85,,0.05,,0.301,,0.257,
4,7/17/2018,FM,CMP 708,11.6,,1.54,,0.86,,0.05,,0.359,,0.266,
5,7/17/2018,FM,CMP 709,12.2,,1.52,,0.81,0.79,0.07,,0.352,,0.262,
6,7/17/2018,FM,CMP 710,12.9,13.0,1.45,,0.72,,0.03,,0.382,,0.254,
7,7/17/2018,FM,CMP 711,13.1,,1.39,,0.68,,0.07,,0.352,,0.248,
8,7/17/2018,FM,CMP 712,11.6,,1.74,,1.13,,0.04,0.04,0.505,,0.359,
9,7/17/2018,FM,CMP 713,11.1,,1.98,1.99,1.14,,0.06,0.06,0.585,0.569,0.347,0.349
10,7/17/2018,FM,CMP 714,10.5,,1.50,,0.79,,0.07,,0.529,,0.239,
11,7/17/2018,FM,CMP 715,9.9,,1.15,,0.49,,0.05,,0.330,,0.136,
12,7/17/2018,FM,CMP 716,8.9,,1.06,,0.43,,0.06,,0.168,,0.120,
13,7/17/2018,FM,CMP 717,8.8,,1.04,,0.42,,0.07,,0.154,,0.117,
14,7/17/2018,FM,CMP 718,8.8,,1.06,,0.45,0.45,0.06,,0.141,,0.125,
15,7/17/2018,FM,CMP 719,10.5,,1.32,,0.73,,0.07,,0.216,,0.221,
16,7/17/2018,FM,CMP 720,11.4,11.3,1.69,,1.04,,0.07,,0.353,,0.331,
17,7/17/2018,FM,CMP 721,11.6,,1.74,,1.11,,0.08,0.08,0.394,,0.358,
18,7/17/2018,FM,CMP 722,11.5,,1.70,1.71,1.11,,0.08,,0.389,0.404,0.356,0.352
19,7/17/2018,FM,CMP 723,11.3,,1.62,,1.03,,0.08,,0.345,,0.323,
20,7/17/2018,FM,CMP 724,10.4,,1.37,,0.77,,0.07,,0.269,,0.236,
21,7/17/2018,FM,CMP 725,9.7,,1.64,,0.98,,0.10,,0.345,,0.308,
22,7/17/2018,FM,CMP 726,9.7,,1.50,,0.97,,0.08,,0.328,,0.311,
23,7/17/2018,FM,CMP 727,10.8,,1.55,,0.93,0.94,0.09,,0.301,,0.295,
24,7/17/2018,FM,CMP 728,10.3,,1.38,,0.76,,0.08,,0.251,,0.238,
1,7/17/2018,SD,CMP 729,13.3,,1.43,,0.89,,0.02,,0.279,,0.262,
2,7/17/2018,SD,CMP 730,10.2,10.4,1.77,,1.17,,0.04,0.05,0.367,,0.341,
3,7/17/2018,SD,CMP 731,11.1,,2.36,2.42,1.69,,0.06,,0.443,0.443,0.422,0.413
4,7/17/2018,SD,CMP 732,11.6,,2.49,,1.92,,0.07,,0.513,,0.448,
5,7/17/2018,SD,CMP 733,12.2,,2.43,,1.91,,0.09,,0.585,,0.425,
6,7/17/2018,SD,CMP 734,13.4,,2.41,,1.82,,0.13,,0.529,,0.391,
7,7/17/2018,SD,CMP 735,13.6,,3.07,,2.50,,0.12,,0.593,,0.500,
8,7/17/2018,SD,CMP 736,11.1,,1.79,,1.25,1.22,0.05,,0.667,,0.372,
9,7/17/2018,SD,CMP 737,9.7,,1.69,,1.06,,0.07,,0.593,,0.328,
10,7/17/2018,SD,CMP 738,8.7,,1.50,,0.86,,0.07,,0.505,,0.274,
11,7/17/2018,SD,CMP 739,7.8,,1.30,,0.74,,0.06,0.06,0.345,,0.229,
12,7/17/2018,SD,CMP 740,7.8,7.6,1.17,1.18,0.70,,0.07,,0.244,0.237,0.214,0.214
13,7/17/2018,SD,CMP 741,7.1,,1.25,,0.69,,0.06,,0.232,,0.204,
14,7/17/2018,SD,CMP 742,8.6,,1.50,,0.90,,0.06,,0.279,,0.275,
15,7/17/2018,SD,CMP 743,9.5,,1.57,,1.01,,0.07,,0.327,,0.311,
16,7/17/2018,SD,CMP 744,10.7,,1.97,,1.40,,0.06,,0.394,,0.381,
17,7/17/2018,SD,CMP 745,11.3,,2.27,,1.71,1.69,0.07,,0.440,,0.425,
18,7/17/2018,SD,CMP 746,11.0,,2.27,,1.77,,0.07,,0.449,,0.434,
19,7/17/2018,SD,CMP 747,10.9,,1.92,,1.23,,0.06,,0.296,,0.298,
20,7/17/2018,SD,CMP 748,10.2,,2.19,,1.08,,0.07,0.07,0.709,,0.334,
21,7/17/2018,SD,CMP 749,9.2,,1.63,1.57,0.93,,0.08,,0.513,0.505,0.286,0.286
22,7/17/2018,SD,CMP 750,8.0,8.2,1.50,,0.81,,0.09,,0.272,,0.245,
23,7/17/2018,SD,CMP 751,7.7,,1.42,,0.71,,0.08,,0.258,,0.214,
24,7/17/2018,SD,CMP 752,7.6,,1.43,,0.70,,0.07,,0.251,,0.211,
1,7/17/2018,HL,CMP 753,14.0,,2.19,,1.11,,0.03,,0.481,,0.326,
2,7/17/2018,HL,CMP 754,14.7,,2.01,,0.94,0.95,0.03,,0.458,,0.410,
3,7/17/2018,HL,CMP 755,15.5,,1.76,,0.71,,0.02,,0.466,,0.432,
4,7/17/2018,HL,CMP 756,15.2,,1.87,,0.64,,0.03,,0.450,,0.460,
5,7/17/2018,HL,CMP 757,16.0,,1.74,,0.58,,0.02,0.02,0.460,,0.449,
6,7/17/2018,HL,CMP 758,14.6,,1.80,1.81,0.57,,0.02,,0.490,0.480,0.465,0.465
7,7/17/2018,HL,CMP 759,12.8,,1.76,,0.59,,0.02,,0.513,,0.420,
8,7/17/2018,HL,CMP 760,12.9,12.9,2.60,,1.76,,0.03,,0.675,,0.528,
9,7/17/2018,HL,CMP 761,11.9,,2.41,,1.37,,0.04,,0.569,,0.448,
10,7/17/2018,HL,CMP 762,11.6,,2.09,,1.22,,0.05,,0.560,,0.394,
11,7/17/2018,HL,CMP 763,11.9,,1.89,,1.17,1.17,0.06,,0.450,,0.385,
12,7/17/2018,HL,CMP 764,12.4,,1.87,,1.18,,0.05,,0.378,,0.370,
13,7/17/2018,HL,CMP 765,14.4,,1.76,,1.17,,0.06,,0.395,,0.385,
14,7/17/2018,HL,CMP 766,13.1,,1.90,,1.23,,0.06,0.06,0.440,,0.417,
15,7/17/2018,HL,CMP 767,14.6,,2.15,2.18,1.39,,0.06,,0.489,0.489,0.475,0.472
16,7/17/2018,HL,CMP 768,16.9,,1.91,,1.29,,0.05,,0.505,,0.502,
17,7/17/2018,HL,CMP 769,15.0,,1.80,,0.92,,0.05,,0.489,,0.478,
18,7/17/2018,HL,CMP 770,14.8,14.8,1.66,,0.82,,0.05,,0.489,,0.472,
19,7/17/2018,HL,CMP 771,13.4,,2.00,,0.96,,0.05,,0.521,,0.485,
20,7/17/2018,HL,CMP 772,12.7,,2.06,,1.25,1.25,0.05,,0.497,,0.448,
21,7/17/2018,HL,CMP 773,12.1,,1.90,,1.25,,0.07,,0.435,,0.417,
22,7/17/2018,HL,CMP 774,11.3,,1.81,,1.21,,0.07,,0.404,,0.399,
23,7/17/2018,HL,CMP 775,12.5,,1.87,,1.16,,0.07,0.07,0.394,,0.387,
24,7/17/2018,HL,CMP 776,14.3,,1.88,1.49,1.22,,0.08,,0.432,0.433,0.407,0.405
1,7/17/2018,PT,CMP 777,14.3,,2.13,,1.09,,0.02,,0.529,,0.431,
2,7/17/2018,PT,CMP 778,14.9,,2.00,,1.06,,0.05,,0.481,,0.455,
3,7/17/2018,PT,CMP 779,16.3,,2.01,,1.06,,0.06,,0.497,,0.478,
4,7/17/2018,PT,CMP 780,16.0,16.1,2.03,,1.13,,0.06,,0.521,,0.502,
5,7/17/2018,PT,CMP 781,15.9,,2.21,,1.22,1.23,0.07,,0.541,,0.531,
6,7/17/2018,PT,CMP 782,14.1,,2.12,,1.16,,0.08,,0.692,,0.512,
7,7/17/2018,PT,CMP 783,13.3,,1.83,,0.91,,0.05,,0.609,,0.431,
8,7/17/2018,PT,CMP 784,12.4,,2.30,,1.35,,0.04,0.04,0.654,,0.480,
9,7/17/2018,PT,CMP 785,12.0,,2.00,1.96,1.27,,0.06,,0.560,0.552,0.454,0.446
10,7/17/2018,PT,CMP 786,11.5,,1.97,,1.22,,0.07,,0.424,,0.408,
11,7/17/2018,PT,CMP 787,11.8,,1.85,,1.19,,0.06,,0.404,,0.397,
12,7/17/2018,PT,CMP 788,12.5,,1.85,,1.18,,0.06,,0.435,,0.408,
13,7/17/2018,PT,CMP 789,13.6,,1.94,,1.26,,0.06,,0.440,,0.434,
14,7/17/2018,PT,CMP 790,13.9,14.0,2.12,,1.32,1.29,0.05,,0.481,,0.462,
15,7/17/2018,PT,CMP 791,14.1,,1.90,,1.03,,0.06,0.06,0.450,,0.445,
16,7/17/2018,PT,CMP 792,14.5,,1.83,,0.97,,0.06,,0.451,,0.440,
17,7/17/2018,PT,CMP 793,14.5,,1.88,1.86,0.96,,0.06,,0.461,,0.445,
18,7/17/2018,PT,CMP 794,13.9,,1.83,,0.96,,0.07,,0.454,0.454,0.445,0.443
19,7/17/2018,PT,CMP 795,12.9,,1.99,,1.14,,0.07,,0.458,,0.455,
20,7/17/2018,PT,CMP 796,13.0,,2.04,,1.22,,0.06,,0.466,,0.446,
21,7/17/2018,PT,CMP 797,12.1,,2.11,,1.25,,0.07,,0.489,,0.432,
22,7/17/2018,PT,CMP 798,12.3,,1.93,,1.19,,0.08,,0.440,,0.425,
23,7/17/2018,PT,CMP 799,13.5,,1.96,,1.22,,0.09,,0.440,,0.419,
24,7/17/2018,PT,CMP 800,13.7,12.3,1.95,1.95,1.26,1.21,0.07,0.07,0.489,0.474,0.442,0.437
1,8/14/2018,FM,CMP 801,20.2,,1.78,,0.81,,0.03,,0.319,,0.188,
2,8/14/2018,FM,CMP 802,14.6,,1.59,,0.80,,0.05,,0.348,,0.249,
3,8/14/2018,FM,CMP 803,16.0,,1.47,,0.70,,0.11,,0.319,,0.250,
4,8/14/2018,FM,CMP 804,16.8,,1.50,,0.62,,0.03,,0.397,,0.249,
5,8/14/2018,FM,CMP 805,17.5,,1.56,,0.58,,0.05,,0.505,,0.250,
6,8/14/2018,FM,CMP 806,14.6,,1.97,,1.15,,0.04,,0.622,,0.336,
7,8/14/2018,FM,CMP 807,14.1,,1.93,,1.16,,0.09,,0.495,,0.344,
8,8/14/2018,FM,CMP 808,12.7,,1.85,,0.72,,0.04,,0.404,,0.211,
9,8/14/2018,FM,CMP 809,11.9,,0.92,0.94,0.28,0.28,0.00,,0.113,0.123,0.087,0.085
10,8/14/2018,FM,CMP 810,7.5,7.2,0.88,,0.25,,0.03,,0.113,,0.075,
11,8/14/2018,FM,CMP 811,9.1,,0.94,,0.29,,0.05,,0.123,,0.087,
12,8/14/2018,FM,CMP 812,10.4,,1.15,,0.55,,0.04,,0.182,,0.153,
13,8/14/2018,FM,CMP 813,13.4,,1.31,,0.64,,0.05,,0.201,,0.192,
14,8/14/2018,FM,CMP 814,15.0,,1.52,,0.99,,0.05,,0.329,,0.290,
15,8/14/2018,FM,CMP 815,13.7,,1.75,,1.02,,0.06,,0.348,,0.322,
16,8/14/2018,FM,CMP 816,13.6,,1.70,,1.03,,0.06,0.06,0.446,,0.311,
17,8/14/2018,FM,CMP 817,13.0,,1.55,,0.91,,0.06,,0.348,,0.285,
18,8/14/2018,FM,CMP 818,13.4,,1.68,1.63,0.71,0.73,0.06,0.06,0.387,0.368,0.228,0.228
19,8/14/2018,FM,CMP 819,13.4,,1.85,,1.11,,0.09,,0.387,,0.328,
20,8/14/2018,FM,CMP 820,11.7,11.7,1.66,,0.91,,0.07,,0.348,,0.281,
21,8/14/2018,FM,CMP 821,10.3,,1.07,,0.53,,0.05,,0.270,,0.158,
22,8/14/2018,FM,CMP 822,12.2,,1.49,,0.81,,0.08,,0.319,,0.236,
23,8/14/2018,FM,CMP 823,13.1,,1.36,,0.86,,0.07,,0.250,,0.246,
24,8/14/2018,FM,CMP 824,12.3,,1.47,,0.87,,0.07,,0.309,,0.258,
1,8/14/2018,SD,CMP 825,20.8,,1.65,,1.02,,0.02,,0.515,,0.274,
2,8/14/2018,SD,CMP 826,23.8,,1.89,,0.88,,0.09,,0.671,,0.349,
3,8/14/2018,SD,CMP 827,26.5,,2.06,2.05,0.70,0.69,0.00,0.00,0.740,0.740,0.349,0.347
4,8/14/2018,SD,CMP 828,28.9,,2.26,,0.72,,0.13,,0.916,,0.392,
5,8/14/2018,SD,CMP 829,28.1,,2.69,,1.13,,0.02,,0.955,,0.480,
6,8/14/2018,SD,CMP 830,15.2,14.8,2.16,,1.32,,0.10,,0.534,,0.408,
7,8/14/2018,SD,CMP 831,13.0,,1.89,,1.17,,0.05,,0.563,,0.344,
8,8/14/2018,SD,CMP 832,13.5,,1.58,,0.97,,0.06,,0.466,,0.269,
9,8/14/2018,SD,CMP 833,13.3,,1.56,,0.85,,0.07,,0.436,,0.246,
10,8/14/2018,SD,CMP 834,10.5,,1.43,,0.82,,0.06,,0.368,,0.238,
11,8/14/2018,SD,CMP 835,10.6,,1.47,,0.81,,0.08,,0.397,,0.238,
12,8/14/2018,SD,CMP 836,11.9,,1.45,1.43,0.84,0.83,0.04,0.04,0.299,0.290,0.258,0.262
13,8/14/2018,SD,CMP 837,13.0,,1.80,,1.04,,0.04,,0.378,,0.368,
14,8/14/2018,SD,CMP 838,14.5,,1.87,,1.11,,0.09,,0.436,,0.371,
15,8/14/2018,SD,CMP 839,19.8,,2.35,,1.04,,0.03,,0.593,,0.381,
16,8/14/2018,SD,CMP 840,22.1,21.9,2.19,,0.99,,0.04,,0.700,,0.387,
17,8/14/2018,SD,CMP 841,23.0,,2.16,,0.98,,0.03,,0.720,,0.389,
18,8/14/2018,SD,CMP 842,14.0,,1.94,,1.22,,0.07,,0.417,,0.379,
19,8/14/2018,SD,CMP 843,12.1,,1.62,,1.04,,0.07,,0.378,,0.322,
20,8/14/2018,SD,CMP 844,12.2,,1.58,,0.82,,0.06,,0.348,,0.255,
21,8/14/2018,SD,CMP 845,10.9,,1.43,1.48,0.73,0.73,0.03,0.03,0.358,0.358,0.230,0.228
22,8/14/2018,SD,CMP 846,10.6,,1.63,,0.79,,0.07,,0.368,,0.241,
23,8/14/2018,SD,CMP 847,12.4,,1.66,,0.85,,0.14,,0.368,,0.265,
24,8/14/2018,SD,CMP 848,13.0,,1.70,,0.96,,0.07,,0.378,,0.290,
1,8/14/2018,HL,CMP 849,25.7,,2.19,,1.30,,0.05,,0.573,,0.548,
2,8/14/2018,HL,CMP 850,28.7,27.9,2.19,,1.09,,0.01,0.01,0.612,,0.550,
3,8/14/2018,HL,CMP 851,31.3,,2.12,,1.03,,0.09,,0.583,,0.564,
4,8/14/2018,HL,CMP 852,28.7,,1.93,,0.96,,0.10,,0.564,,0.551,
5,8/14/2018,HL,CMP 853,27.5,,2.30,,1.20,,0.08,,0.603,,0.527,
6,8/14/2018,HL,CMP 854,25.5,,2.92,2.94,2.06,2.05,0.00,0.00,0.779,0.779,0.592,0.592
7,8/14/2018,HL,CMP 855,25.4,,2.48,,1.57,,0.04,,0.612,,0.459,
8,8/14/2018,HL,CMP 856,17.0,,2.07,,1.35,,0.07,,0.554,,0.414,
9,8/14/2018,HL,CMP 857,24.4,,2.15,,1.34,,0.02,0.01,0.485,,0.397,
10,8/14/2018,HL,CMP 858,22.1,,2.19,,1.28,,0.06,,0.446,,0.390,
11,8/14/2018,HL,CMP 859,23.7,,2.15,,1.35,,0.05,,0.466,,0.414,
12,8/14/2018,HL,CMP 860,27.7,27.1,2.40,,1.54,,0.05,,0.534,,0.468,
13,8/14/2018,HL,CMP 861,22.9,,2.61,,1.91,,0.04,,0.612,,0.556,
14,8/14/2018,HL,CMP 862,23.8,,2.64,,1.87,,0.00,0.01,0.671,,0.615,
15,8/14/2018,HL,CMP 863,25.0,,2.25,2.28,1.35,1.35,0.03,0.03,0.603,0.593,0.591,0.591
16,8/14/2018,HL,CMP 864,26.0,,2.27,,1.21,,0.05,,0.584,,0.573,
17,8/14/2018,HL,CMP 865,26.8,,2.22,,1.27,,0.05,,0.597,,0.580,
18,8/14/2018,HL,CMP 866,27.8,,2.64,,1.74,,0.02,0.02,0.642,,0.573,
19,8/14/2018,HL,CMP 867,22.8,,2.73,,1.94,,0.05,,0.651,,0.557,
20,8/14/2018,HL,CMP 868,24.7,,2.48,,1.63,,0.06,,0.573,,0.472,
21,8/14/2018,HL,CMP 869,27.6,,2.41,,1.42,,0.04,0.04,0.585,,0.556,
22,8/14/2018,HL,CMP 870,26.6,25.6,2.49,,1.53,,0.04,0.03,0.485,,0.452,
23,8/14/2018,HL,CMP 871,25.0,,2.31,,1.56,,0.06,,0.515,,0.487,
24,8/14/2018,HL,CMP 872,29.5,,2.58,2.59,1.66,1.68,0.04,0.04,0.622,0.632,0.569,0.569
1,8/14/2018,PT,CMP 873,15.4,,2.02,,1.25,,0.04,,0.632,,0.494,
2,8/14/2018,PT,CMP 874,15.0,,1.81,,1.13,,0.04,,0.828,,0.492,
3,8/14/2018,PT,CMP 875,16.3,,1.73,,1.04,,0.07,,1.053,,0.492,
4,8/14/2018,PT,CMP 876,15.5,,1.93,,1.03,,0.00,0.00,1.150,,0.494,
5,8/14/2018,PT,CMP 877,14.9,,1.86,,1.08,,0.02,,1.366,,0.494,
6,8/14/2018,PT,CMP 878,14.7,,2.10,,1.37,,0.06,,1.571,,0.511,
7,8/14/2018,PT,CMP 879,12.6,,2.51,,1.72,,0.08,,1.604,,0.530,
8,8/14/2018,PT,CMP 880,20.8,20.9,2.46,,1.50,,0.07,,1.209,,0.454,
9,8/14/2018,PT,CMP 881,13.5,,2.28,2.28,1.32,1.33,0.05,0.06,1.248,1.092,0.421,0.422
10,8/14/2018,PT,CMP 882,11.6,,2.18,,1.31,,0.05,,0.798,,0.405,
11,8/14/2018,PT,CMP 883,12.4,,2.20,,1.34,,0.05,,1.258,,0.410,
12,8/14/2018,PT,CMP 884,12.4,,2.38,,1.57,,0.05,,0.828,,0.484,
13,8/14/2018,PT,CMP 885,13.6,,2.36,,1.53,,0.04,,1.190,,0.529,
14,8/14/2018,PT,CMP 886,13.7,,2.15,,1.27,,0.03,,1.004,,0.507,
15,8/14/2018,PT,CMP 887,15.2,,2.06,,1.18,,0.04,,0.818,,0.510,
16,8/14/2018,PT,CMP 888,14.5,,2.08,,1.19,,0.05,,1.150,,0.507,
17,8/14/2018,PT,CMP 889,13.5,,2.18,,1.34,,0.03,,0.925,,0.521,
18,8/14/2018,PT,CMP 890,21.8,21.5,2.47,2.35,1.57,1.60,0.04,0.04,0.759,0.769,0.532,0.529
19,8/14/2018,PT,CMP 891,12.8,,2.45,,1.54,,0.05,,1.013,,0.475,
20,8/14/2018,PT,CMP 892,13.8,,2.26,,1.18,,0.06,,0.857,,0.438,
21,8/14/2018,PT,CMP 893,12.7,,2.29,,1.35,,0.06,,0.857,,0.422,
22,8/14/2018,PT,CMP 894,14.9,,2.17,,1.31,,0.07,,0.906,,0.419,
23,8/14/2018,PT,CMP 895,11.7,,2.20,,1.47,,0.06,,0.749,,0.462,
24,8/14/2018,PT,CMP 896,12.9,,2.42,,1.49,1.52,0.05,0.05,0.974,0.935,0.507,0.503
1,8/21/2018,FM,CMP 897,22.0,,1.37,,0.37,,0.02,,0.701,,0.104033,
2,8/21/2018,FM,CMP 898,15.2,,1.44,,0.47,,0.00,,0.749,,0.144,
3,8/21/2018,FM,CMP 899,15.9,,1.57,,0.60,,0.01,,0.837,,0.182,
4,8/21/2018,FM,CMP 900,19.9,19.4,1.89,,0.67,,0.00,,1.688,,0.203,
5,8/21/2018,FM,CMP 901,18.4,,1.65,,0.77,,0.01,,1.287,,0.204,
6,8/21/2018,FM,CMP 902,21.3,,2.23,,0.97,,0.01,,1.256,,0.255,
7,8/21/2018,FM,CMP 903,19.5,,2.14,,1.05,,0.00,,1.591,,0.320,
