Bottle,Date,Site,ID,DOC_ppm,DOC_rep2,TN_ppm,TN_rep2,NO3_ppm,NO3_rep2,NH4_ppm,NH4_rep2,TP_ppm,TP_rep2,PO4_PPM,PO4_rep2
,,,CMP 107,11.7,,2.66,2.68,1.58,,0.07,,0.611,0.602,0.275,
,,,CMP 108,12.4,,2.83,,1.76,,0.06,,0.631,,0.308,
,,,CMP 109,12.6,,2.76,,1.77,,0.08,,0.611,,0.309,
,,,CMP 110,12.7,12.9,2.69,,1.63,,0.06,0.07,0.602,,0.285,0.285
,,,CMP 111,10.0,,2.06,,1.13,,0.05,,0.533,,0.193,0.187
,,,CMP 112,11.3,,2.57,,1.41,,0.06,,0.621,,0.206,
,,,CMP 113,11.4,,2.51,,1.46,,0.01,,0.602,,0.234,
,,,CMP 114,8.9,,1.64,,0.78,0.79,0.00,,0.465,,0.122,
,,,CMP 115,13.0,,3.67,,2.29,,0.01,,0.892,,0.401,
,,,CMP 116,12.8,,3.37,3.40,2.18,,0.06,,0.853,0.853,0.486,
,,,CMP 117,12.1,,3.27,,1.95,,0.03,,0.844,,0.437,
,,,CMP 118,11.7,,3.06,,1.92,,0.04,,0.940,,0.492,
,,,CMP 119,11.2,,3.27,,1.90,,0.04,0.04,1.046,,0.523,
,,,CMP 120,15.6,15.5,3.22,,1.86,,0.04,,1.256,,0.524,0.532
,,,CMP 121,11.3,11.1,3.12,,1.90,,0.06,,1.094,,0.523,
,,,CMP 122,13.1,,3.34,,1.93,,0.03,,1.046,,0.424,
,,,CMP 123,12.4,,4.11,,2.60,,0.04,,1.380,,0.484,
,,,CMP 124,12.6,,3.57,,2.47,,0.05,,0.988,,0.446,
,,,CMP 125,11.2,,3.43,3.47,2.19,,0.06,,0.844,0.844,0.385,
,,,CMP 126,12.1,,3.20,,2.03,,0.08,,0.660,,0.382,
,,,CMP 127,13.1,,3.23,,2.03,,0.08,,0.679,,0.342,
,,,CMP 128,13.6,,3.33,,2.16,,0.07,0.07,0.776,,0.374,
,,,CMP 129,14.1,,3.48,,2.44,,0.05,,0.795,,0.449,0.444
,,,CMP 130,13.4,,3.66,,2.44,,0.06,,0.931,,0.473,
,,,CMP 131,12.8,,3.10,,2.11,,0.06,,0.863,,0.535,
,,,CMP 132,13.1,,3.31,,1.99,1.99,0.06,,0.940,,0.449,
,,,CMP 133,13.4,,3.14,,2.00,,0.03,,1.103,,0.452,
,,,CMP 134,13.9,,3.31,3.23,2.24,,0.06,,1.027,1.027,0.458,
,,,CMP 135,14.4,,3.52,,2.31,,0.05,,0.592,,0.432,
,,,CMP 136,13.3,,3.55,,2.17,,0.06,,0.824,,0.392,
,,,CMP 137,12.7,,3.16,,2.10,,0.07,0.07,0.708,,0.367,
,,,CMP 138,12.2,,3.27,,1.99,,0.06,,0.747,,0.341,0.344
,,,CMP 139,12.3,,2.09,,1.22,,0.02,,0.465,,0.157,
,,,CMP 140,12.4,,2.41,,1.34,,0.03,,0.543,,0.181,
,,,CMP 141,11.5,,2.36,,1.46,1.45,0.04,,0.611,,0.199,
,,,CMP 142,12.3,,2.61,2.86,1.57,,0.02,,0.708,,0.218,
,,,CMP 143,12.5,,2.89,,1.57,,0.04,,0.824,0.824,0.225,
,,,CMP 144,13.2,,2.76,,1.52,,0.05,,0.786,,0.213,
,,,CMP 145,13.3,,2.89,2.90,1.48,,0.04,,0.795,,0.179,
,,,CMP 146,13.5,,2.80,,1.51,,0.06,0.05,0.699,,0.196,
,,,CMP 147,12.4,,3.09,,1.90,,0.06,,0.805,,0.302,0.300
,,,CMP 148,11.4,,3.15,,1.71,,0.06,,0.750,0.732,0.257,
,,,CMP 149,11.3,,3.11,,1.34,,0.04,,1.084,,0.179,
,,,CMP 150,10.6,,2.13,,1.15,1.17,0.07,,0.504,,0.145,
,,,CMP 151,9.7,,2.18,,1.11,,0.02,,0.485,,0.134,
,,,CMP 152,10.0,,2.06,2.05,1.11,,0.03,,0.494,0.485,0.147,
,,,CMP 153,10.5,,2.17,,1.24,,0.07,,0.475,,0.168,
,,,CMP 154,11.0,,2.53,,1.42,,0.06,,0.563,,0.199,
,,,CMP 155,11.1,,2.19,2.18,1.54,,0.04,0.02,0.718,,0.218,
,,,CMP 156,11.6,,2.66,,1.59,,0.07,,1.218,,0.228,0.225
