Site,Bottle,Date,ID,EC_uScm,pH,Turbidity_ntu,TP_mgL,TDP_mgL,PO4P_mgL,TN_mgL,TDN_mgL,DON_mgL,NH4N_mgL,NO3N_mgL,DOC_mgL,TSS_mgL,VSS_mgL
PT,23,7/24/2017,CMP 370,3.32,7.68,35,0.684,0.481,0.47,2.09,2.04,0.82,0.04,1.18,15,35.5,9.1
PT,24,7/24/2017,CMP 371,3.29,7.64,42.4,0.712,0.524,0.478,2.06,1.99,0.73,0.03,1.23,15.4,36.8,8.5
WL-OUT,1,7/24/2017,CMP 372,3.16,8.16,98.6,0.942,0.591,0.507,2.77,2.41,1.11,0.03,1.27,18.6,70.6,13.3
WL-OUT,2,7/24/2017,CMP 373,3.16,7.99,84.9,0.878,0.604,0.542,2.41,2.31,0.91,0.03,1.36,18.2,54.7,10.9
WL-OUT,3,7/24/2017,CMP 374,3.18,8.08,54.3,0.813,0.614,0.6,2.32,2.18,1,0.02,1.16,18.4,47.4,11
WL-OUT,4,7/24/2017,CMP 375,3.22,8.06,55.6,0.785,0.616,0.576,2.28,2.09,0.87,0.02,1.19,18.8,54.3,10
WL-OUT,5,7/24/2017,CMP 376,3.14,8.04,81.8,0.933,0.647,0.587,3.13,2.47,0.86,0.02,1.59,17.8,73.2,14.1
WL-OUT,6,7/24/2017,CMP 377,3.06,8.05,118,1.08,0.739,0.643,3.33,2.92,0.74,0.03,2.15,16.2,97.4,15.9
WL-OUT,7,7/24/2017,CMP 378,3.09,8.02,138,1.139,0.702,0.657,3.48,3.17,0.95,0.02,2.21,16.9,125,18.9
WL-OUT,8,7/24/2017,CMP 379,3.18,8.03,103,0.898,0.598,0.591,2.86,2.65,0.69,0.03,1.93,14.5,89,14.5
WL-OUT,9,7/24/2017,CMP 380,3.21,8.06,84,0.867,0.579,0.559,2.78,2.65,0.77,0.02,1.86,14.2,74.4,14.4
WL-OUT,10,7/24/2017,CMP 381,3.2,8.04,65.6,0.878,0.585,0.569,2.77,2.59,0.73,0.01,1.85,14.4,54.1,11.4
WL-OUT,11,7/24/2017,CMP 382,3.1,8.02,96.7,0.961,0.64,0.584,3.18,2.62,0.8,0.01,1.82,14.8,68.7,14.8
WL-OUT,12,7/24/2017,CMP 383,3.1,8.1,88.5,1.016,0.696,0.64,3.18,2.75,0.91,0.02,1.82,15.8,87,15.1
WL-OUT,13,7/24/2017,CMP 384,3.17,8.08,69.4,1.016,0.683,0.646,3.18,2.62,0.83,0.01,1.78,17.1,69.9,12.3
WL-OUT,14,7/24/2017,CMP 385,3.2,8.02,63,0.887,0.653,0.638,2.73,2.58,0.94,0.01,1.63,18.8,60.8,11.9
WL-OUT,15,7/24/2017,CMP 386,3.19,8.13,61,0.896,0.668,0.651,2.88,2.56,0.87,0.01,1.67,17.5,54.9,11.1
WL-OUT,16,7/24/2017,CMP 387,3.14,8.07,76.3,0.951,0.674,0.658,3.02,2.7,0.7,0.02,1.98,16,65.3,12.9
WL-OUT,17,7/24/2017,CMP 388,3.12,8.07,89.2,0.979,0.683,0.645,2.95,2.74,0.74,0.03,1.98,15.3,85,13.8
WL-OUT,18,7/24/2017,CMP 389,3.26,8.01,96.7,1.016,0.585,0.58,2.74,2.52,0.65,0.02,1.85,14.4,95.7,17.8
WL-OUT,19,7/24/2017,CMP 390,3.39,8.03,111,0.853,0.511,0.51,2.38,2.26,0.61,0.02,1.63,13.9,94.7,15
WL-OUT,20,7/24/2017,CMP 391,3.46,8.08,81.4,0.749,0.508,0.484,2.49,2.3,0.72,0.04,1.55,13.6,76.1,11.7
WL-OUT,21,7/24/2017,CMP 392,3.53,8.03,71.8,0.693,0.444,0.411,2.41,2.24,0.87,0,1.36,17.2,64.4,14.3
WL-OUT,22,7/24/2017,CMP 393,3.47,7.92,103,0.822,0.475,0.462,2.5,2.38,0.83,0.02,1.53,16.4,100.7,13.5
WL-OUT,23,7/24/2017,CMP 394,3.24,7.92,150,1.117,0.548,0.476,2.52,2.45,0.73,0.02,1.7,15.4,132.9,26.8
WL-OUT,24,7/24/2017,CMP 395,3.27,8,134,1.115,0.616,0.551,2.96,2.5,0.76,0.02,1.72,16.6,117.8,22.1
F M,1,7/26/2017,CMP 396,3.86,7.94,84.3,0.574,0.341,0.314,1.92,1.5,0.67,0.01,0.81,12.4,78.4,11.3
F M,2,7/26/2017,CMP 397,3.9,8.03,113,0.666,0.319,0.3,1.87,1.43,0.63,0.03,0.78,11.9,112.6,15.7
F M,3,7/26/2017,CMP 398,3.84,8.06,80.1,0.555,0.315,0.294,1.76,1.42,0.65,0.01,0.77,12.2,79.7,12.2
F M,4,7/26/2017,CMP 399,3.89,8.09,111,0.656,0.327,0.314,1.8,1.43,0.63,0.01,0.79,12.6,107.1,15.3
F M,5,7/26/2017,CMP 400,3.85,8.13,89.4,0.629,0.358,0.325,1.69,1.42,0.59,0,0.82,12.7,89.6,13.5
F M,6,7/26/2017,CMP 401,3.98,8.15,70.6,0.52,0.278,0.228,1.6,1.15,0.67,0,0.48,12.3,64,14.5
F M,7,7/26/2017,CMP 402,3.54,8.16,115,0.641,0.266,0.226,2.24,2.04,0.64,0.01,1.4,12.6,106.1,15.4
F M,8,7/26/2017,CMP 403,3.62,8.17,178,0.933,0.498,0.471,2.23,2.06,0.59,0,1.47,12,160.8,23.1
F M,9,7/26/2017,CMP 404,3.7,8.12,98.8,0.712,0.427,0.401,2,1.79,0.54,0.01,1.24,11.3,85.5,12.9
F M,10,7/26/2017,CMP 405,3.85,8.11,91.4,0.564,0.296,0.284,1.43,1.4,0.58,0.01,0.81,10.8,90.6,13.7
F M,11,7/26/2017,CMP 406,3.99,7.94,72.1,0.38,0.143,0.137,0.91,0.87,0.49,0,0.37,9.6,65.7,7
F M,12,7/26/2017,CMP 407,4.61,7.93,133,0.5,0.149,0.14,1.27,0.93,0.48,0,0.45,8.7,126.7,16.8
F M,13,7/26/2017,CMP 408,4.22,7.83,171,0.54,0.13,0.12,1.24,0.65,0.57,0,0.08,9.5,164.8,21.2
F M,14,7/26/2017,CMP 409,4.02,7.95,92.1,0.435,0.162,0.121,1.01,0.72,0.61,0,0.11,10.4,92.3,13.2
F M,15,7/26/2017,CMP 410,3.83,8.06,138,0.673,0.245,0.179,1.3,0.99,0.77,0,0.21,11.9,136,19.1
F M,16,7/26/2017,CMP 411,3.85,8.11,62,0.527,0.348,0.314,1.22,0.94,0.75,0,0.18,12.1,55,9.6
F M,17,7/26/2017,CMP 412,3.79,8.06,92.1,0.647,0.389,0.316,1.33,0.95,0.71,0.01,0.23,11.8,88.5,13.7
F M,18,7/26/2017,CMP 413,3.74,8.07,63,0.592,0.407,0.37,1.27,0.93,0.68,0,0.25,11.8,53,11.1
F M,19,7/26/2017,CMP 414,3.89,8.11,60.9,0.564,0.389,0.354,1.31,1.03,0.8,0,0.23,11.1,55.2,9.8
F M,20,7/26/2017,CMP 415,4.05,8.13,73.2,0.574,0.401,0.351,1.33,1.01,0.74,0.01,0.26,10.6,69.2,10.1
F M,21,7/26/2017,CMP 416,4.06,8.13,62.1,0.564,0.395,0.373,1.42,0.99,0.72,0.02,0.25,10.3,57,8
F M,22,7/26/2017,CMP 417,4.11,8.2,65.1,0.546,0.358,0.351,1.26,0.95,0.71,0,0.24,10.3,60,8.9
F M,23,7/26/2017,CMP 418,4.94,7.99,59.6,0.389,0.21,0.201,1.18,0.72,0.55,0.01,0.16,7.6,58.3,7.2
F M,24,7/26/2017,CMP 419,4.64,7.88,71.3,0.306,0.14,0.135,0.67,0.61,0.51,0.01,0.1,8.3,61.2,8.2
H L ,1,7/26/2017,CMP 420,3.35,8.2,102,1.025,0.659,0.639,1.89,1.26,0.93,0.01,0.32,13.8,85.7,12
H L ,2,7/26/2017,CMP 421,3.43,8.28,66,0.887,0.708,0.656,1.48,1.31,1.03,0,0.28,14.9,65.4,9.7
H L ,3,7/26/2017,CMP 422,3.49,8.36,55.3,0.924,0.696,0.648,1.52,1.38,1.13,0.01,0.24,15.1,53,8.7
H L ,4,7/26/2017,CMP 423,3.39,8.28,69.7,0.878,0.665,0.64,1.55,1.34,1.04,0.01,0.3,14.2,60.3,9.5
H L ,5,7/26/2017,CMP 424,3.51,8.24,41.5,0.804,0.665,0.633,1.7,1.39,1.16,0.01,0.22,15.2,39.5,7.1
H L ,6,7/26/2017,CMP 425,3.28,8.25,139,1.126,0.745,0.638,2.32,1.39,0.92,0.01,0.46,13.2,105,14.1
H L ,7,7/26/2017,CMP 426,3.38,8.23,139,1.204,0.749,0.717,1.98,1.3,0.9,0.02,0.39,12.2,109,15.1
H L ,8,7/26/2017,CMP 427,3.53,8.22,120,0.99,0.653,0.617,1.89,1.18,0.83,0.01,0.35,11.9,101.9,15.2
H L ,9,7/26/2017,CMP 428,3.58,8.27,78.7,0.808,0.613,0.596,1.86,1.07,0.72,0.01,0.34,11.5,76,10.6
H L ,10,7/26/2017,CMP 429,3.57,8.23,65.9,0.804,0.548,0.524,1.91,1.1,0.76,0.01,0.33,11.8,60.3,8.3
H L ,11,7/26/2017,CMP 430,3.5,8.19,60.6,0.739,0.563,0.516,1.84,1.12,0.79,0.01,0.32,12,58.5,9.4
H L ,12,7/26/2017,CMP 431,3.39,8.3,80.7,0.878,0.572,0.543,2.14,1.34,0.96,0.01,0.38,12.3,73.8,11.9
H L ,13,7/26/2017,CMP 432,3.35,8.24,71.6,0.942,0.651,0.629,1.98,1.36,0.95,0.01,0.4,12.3,68.8,9.8
H L ,14,7/26/2017,CMP 433,3.35,8.19,70.2,1.016,0.704,0.683,2.24,1.46,1.06,0.01,0.39,13.6,70.7,11
H L ,15,7/26/2017,CMP 434,3.41,8.29,45.4,0.85,0.728,0.678,2.14,1.32,0.98,0,0.34,13.6,44.9,7.4
H L ,16,7/26/2017,CMP 435,3.38,8.25,58.5,0.905,0.739,0.675,2.09,1.41,1.07,0,0.34,13.6,56,10.2
H L ,17,7/26/2017,CMP 436,3.34,8.26,61.1,0.924,0.667,0.659,2.05,1.37,0.97,0.01,0.39,12.7,51.9,9.4
H L ,18,7/26/2017,CMP 437,3.4,8.27,85.2,0.896,0.609,0.561,2.05,1.32,0.93,0.02,0.37,11.7,78,10.9
H L ,19,7/26/2017,CMP 438,3.41,8.19,92.7,0.868,0.564,0.561,2.14,1.36,1.01,0,0.35,11.7,81.9,12.1
H L ,20,7/26/2017,CMP 439,3.63,8.22,84.6,0.776,0.528,0.514,1.77,1.12,0.8,0.02,0.3,11,74,10.7
H L ,21,7/26/2017,CMP 440,3.73,8.14,63.1,0.656,0.493,0.475,1.24,1.09,0.77,0.01,0.31,11,56.5,8.4
H L ,22,7/26/2017,CMP 441,3.58,8.21,71.8,0.712,0.475,0.454,1.57,1.14,0.8,0.04,0.31,11,59.1,9.7
H L ,23,7/26/2017,CMP 442,3.49,8.22,80.1,0.878,0.591,0.523,2.14,1.22,0.84,0.04,0.34,11.3,75.1,11.4
H L ,24,7/26/2017,CMP 443,3.41,8.19,82.9,0.924,0.628,0.609,2.21,1.19,0.83,0.02,0.34,12.8,75.5,11.2
S D,1,7/25/2017,CMP 444,3.37,8.13,120,0.822,0.487,0.47,1.98,1.26,0.91,0.06,0.29,11.4,99.5,17.8
S D,2,7/25/2017,CMP 445,3.33,8.16,112,0.822,0.456,0.447,2.21,1.31,1,0.04,0.27,11.8,84.3,13
S D,3,7/25/2017,CMP 446,3.36,8.24,125,0.822,0.469,0.456,2.28,1.31,1.01,0.04,0.26,12.6,100.3,16.3
S D,4,7/25/2017,CMP 447,3.39,8.12,115,0.821,0.438,0.425,2.35,1.21,0.99,0,0.22,12.8,94.5,11.9
S D,5,7/25/2017,CMP 448,3.37,8.13,165,0.942,0.462,0.425,2.4,1.18,0.9,0.03,0.25,12.2,130.9,15.7
S D,6,7/25/2017,CMP 449,3.42,8.17,185,0.951,0.505,0.456,2.72,1.18,0.86,0.01,0.31,11,147.9,19.4
S D,7,7/25/2017,CMP 450,3.67,8.14,233,0.996,0.471,0.413,2.31,1.05,0.76,0.01,0.28,10.2,173.2,23.1
S D,8,7/25/2017,CMP 451,4.22,8.07,205,0.821,0.353,0.332,1.66,0.74,0.53,0.01,0.21,9.3,187.7,24.6
S D,9,7/25/2017,CMP 452,4.6,8,126,0.601,0.298,0.276,1.32,0.67,0.47,0.02,0.18,8.6,114.6,16.2
S D,10,7/25/2017,CMP 453,4.72,7.98,130,0.564,0.262,0.247,0.97,0.61,0.42,0.02,0.17,8.1,103.4,14
S D,11,7/25/2017,CMP 454,4.52,7.96,88.1,0.537,0.296,0.259,1.18,0.67,0.49,0,0.18,8.6,83.9,11.7
S D,12,7/25/2017,CMP 455,3.86,8.14,83.1,0.62,0.413,0.284,1.85,0.95,0.7,0,0.25,10,78,13.6
S D,13,7/25/2017,CMP 456,3.59,8.16,96.1,0.721,0.45,0.406,1.98,1.21,0.92,0.01,0.28,10.8,93.5,13
S D,14,7/25/2017,CMP 457,3.49,8.18,91.9,0.703,0.53,0.467,2.24,1.24,0.94,0,0.29,12,93,11.6
S D,15,7/25/2017,CMP 458,3.48,8.13,117,0.859,0.498,0.486,2.63,1.23,0.94,0.01,0.28,11.8,110.4,15.9
S D,16,7/25/2017,CMP 459,3.49,8.12,84.1,0.749,0.509,0.495,2.35,1.21,0.91,0.01,0.29,11.6,80.4,13.2
S D,17,7/25/2017,CMP 460,3.62,8.14,104,0.822,0.511,0.494,2.35,1.19,0.89,0.02,0.28,10.9,93.7,14.8
S D,18,7/25/2017,CMP 461,4.07,8.11,140,0.721,0.37,0.366,1.48,0.89,0.63,0.03,0.23,10.1,122,17.4
S D,19,7/25/2017,CMP 462,4.68,8.03,152,0.601,0.272,0.265,1.23,0.67,0.48,0.01,0.18,8.6,145,19.4
S D,20,7/25/2017,CMP 463,5.16,7.93,126,0.481,0.241,0.217,1.04,0.68,0.51,0.01,0.15,7.7,111.9,14.3
S D,21,7/25/2017,CMP 464,5.29,7.89,94.2,0.445,0.235,0.218,0.77,0.59,0.45,0,0.14,7.4,88.7,12.8
S D,22,7/25/2017,CMP 465,5.04,8,110,0.601,0.247,0.214,1,0.68,0.49,0.03,0.16,8.1,102,13.2
S D,23,7/25/2017,CMP 466,4.25,8.01,84.4,0.574,0.303,0.255,1.59,0.78,0.53,0.04,0.21,9.5,79.9,10.3
S D,24,7/25/2017,CMP 467,3.77,8.05,94.8,0.712,0.362,0.338,2.1,0.91,0.63,0.02,0.27,10.6,81.3,11.6
PT,1,8/21/2017,CMP 468,5.55,8.16,73.4,0.786,0.485,0.426,2.86,2.37,1.44,0.04,0.88,27.2,69.1,9.6
PT,2,8/21/2017,CMP 469,5.54,8.26,74.4,0.806,0.577,0.523,2.68,2.26,1.35,0.04,0.86,24.8,68.9,12.1
PT,3,8/21/2017,CMP 470,5.36,8.3,66.1,0.794,0.651,0.52,2.72,2.42,1.48,0,0.94,22,65.4,10.8
PT,4,8/21/2017,CMP 471,5.55,8.35,90.3,0.905,0.62,0.579,2.91,2.56,1.3,0,1.26,21,86.6,13.4
PT,5,8/21/2017,CMP 472,5.69,8.38,84,0.972,0.731,0.676,3.32,2.98,1.16,0.01,1.81,19.4,74.7,11.1
PT,6,8/21/2017,CMP 473,5.92,8.38,121,0.966,0.706,0.659,3.28,3.1,1.16,0.02,1.93,18.3,104.7,14
PT,7,8/21/2017,CMP 474,6.2,8.37,93,0.923,0.682,0.593,3.25,2.66,0.88,0.02,1.75,17.1,83.5,9.7
PT,8,8/21/2017,CMP 475,6.32,8.37,91,0.825,0.602,0.533,3.59,2.7,1.05,0,1.64,16.5,79.6,12.6
PT,9,8/21/2017,CMP 476,6.1,8.33,64,0.849,0.602,0.587,3.15,2.78,1.02,0.02,1.74,15.7,57.9,9.6
PT,10,8/21/2017,CMP 477,5.96,8.3,92,0.948,0.663,0.645,3.32,2.95,1.06,0,1.88,17.7,90,13
PT,11,8/21/2017,CMP 478,5.77,8.29,91,0.972,0.805,0.67,3.36,3.17,1.36,0,1.81,23.9,82.8,12.1
PT,12,8/21/2017,CMP 479,5.63,8.28,81,0.948,0.651,0.584,3.05,2.61,1.24,0,1.37,20,73.1,10.9
PT,13,8/21/2017,CMP 480,5.63,8.32,77,0.812,0.626,0.579,2.73,2.46,1.27,0.03,1.16,20.1,65.3,8.4
PT,14,8/21/2017,CMP 481,5.56,8.37,71,0.8,0.633,0.576,2.76,2.53,1.34,0,1.19,19.7,57.4,9
PT,15,8/21/2017,CMP 482,5.7,8.35,50,0.848,0.7,0.637,3.2,2.88,1.32,0.04,1.52,19.6,48.3,6.7
PT,16,8/21/2017,CMP 483,5.87,8.35,77,0.972,0.682,0.643,3.33,2.91,1.11,0,1.8,18.2,72.3,9.8
PT,17,8/21/2017,CMP 484,6.11,8.28,129,1.098,0.719,0.63,3.37,3.09,1.12,0.04,1.93,16.7,110.2,15
PT,18,8/21/2017,CMP 485,6.43,8.3,124,0.905,0.633,0.543,2.99,2.61,1.02,0,1.59,15.3,108.4,12.8
PT,19,8/21/2017,CMP 486,6.65,8.3,79.3,0.739,0.516,0.488,2.73,2.37,0.94,0,1.43,14.5,75.2,8.5
PT,20,8/21/2017,CMP 487,6.7,8.27,60.2,0.716,0.59,0.475,2.64,2.46,1.07,0,1.39,15.2,55,8.3
PT,21,8/21/2017,CMP 488,6.69,8.24,82.2,0.794,0.516,0.475,2.82,2.45,1.03,0,1.41,15.1,79.9,9.8
PT,22,8/21/2017,CMP 489,6.41,8.24,166,1.098,0.62,0.551,2.89,2.59,1,0.04,1.55,15.5,156.1,18.6
PT,23,8/21/2017,CMP 490,6.07,8.2,177,1.175,0.645,0.587,3.09,2.72,1.12,0,1.6,16.9,145,18.2
PT,24,8/21/2017,CMP 491,5.87,8.2,127,1.021,0.669,0.585,2.97,2.66,1.24,0,1.42,19.1,111.4,12.7
WL-OUT,1,8/21/2017,CMP 492,6.13,7.87,29.7,0.576,0.395,0.325,1.64,1.45,1.02,0,0.42,17.2,24.2,9.6
WL-OUT,2,8/21/2017,CMP 493,6.14,8.04,12.6,0.609,0.499,0.405,1.91,1.75,1.11,0,0.64,16.3,12.5,3.9
WL-OUT,3,8/21/2017,CMP 494,6.07,7.99,12,0.563,0.474,0.407,1.62,1.48,1.02,0,0.46,17.9,9.8,3.9
WL-OUT,4,8/21/2017,CMP 495,6.17,8,14.1,0.563,0.481,0.413,1.51,1.52,0.92,0,0.6,17.3,11,3.4
WL-OUT,5,8/21/2017,CMP 496,6.11,7.95,15.7,0.653,0.542,0.432,1.76,1.42,1.08,0,0.34,17.8,9,4
WL-OUT,6,8/21/2017,CMP 497,6.3,8.02,17.3,0.622,0.517,0.445,1.8,1.67,0.76,0,0.91,15.6,13.7,4.9
WL-OUT,7,8/21/2017,CMP 498,6.34,8.04,18.1,0.626,0.524,0.455,1.87,1.77,0.8,0.02,0.95,15.9,17.6,3.3
WL-OUT,8,8/21/2017,CMP 499,6.41,8.05,26.5,0.659,0.517,0.455,2.12,1.96,0.81,0,1.15,15.2,22.4,4.8
WL-OUT,9,8/21/2017,CMP 500,5.54,8.04,27.6,0.671,0.505,0.455,2.13,1.84,0.68,0,1.15,14.2,23.8,4.7
WL-OUT,10,8/21/2017,CMP 501,5.5,7.97,26.3,0.649,0.511,0.448,2.07,1.94,0.78,0,1.16,15.6,19.2,5.8
WL-OUT,11,8/21/2017,CMP 502,6.31,7.91,20.4,0.647,0.487,0.439,1.79,1.56,0.77,0,0.79,15.2,17.4,3.3
WL-OUT,12,8/21/2017,CMP 503,5.15,8.08,16,0.659,0.511,0.426,1.87,1.68,0.89,0,0.78,15,14.2,4
WL-OUT,13,8/21/2017,CMP 504,6.37,8,16.3,0.647,0.474,0.42,1.76,1.6,0.86,0,0.74,14.5,15.2,3.1
WL-OUT,14,8/21/2017,CMP 505,6.28,8.04,18.4,0.617,0.524,0.422,1.89,1.75,0.76,0,0.98,13.8,15.8,4
WL-OUT,15,8/21/2017,CMP 506,6.58,8,18.4,0.591,0.462,0.422,1.93,1.66,0.66,0,0.99,13.4,13.2,3.5
WL-OUT,16,8/21/2017,CMP 507,6.6,7.92,16.9,0.554,0.468,0.411,1.88,1.75,0.78,0,0.96,15.6,14.1,3.4
WL-OUT,17,8/21/2017,CMP 508,6.5,7.87,19.9,0.554,0.456,0.41,1.87,1.7,0.75,0.02,0.93,13.4,18.4,4.5
WL-OUT,18,8/21/2017,CMP 509,6.59,7.84,24.8,0.665,0.462,0.4,1.86,1.74,0.82,0.02,0.9,13.9,20.3,5.8
WL-OUT,19,8/21/2017,CMP 510,6.59,7.91,25.8,0.64,0.438,0.408,1.82,1.77,0.86,0.01,0.9,13.7,22.6,4.8
WL-OUT,20,8/21/2017,CMP 511,6.55,7.81,25.5,0.604,0.474,0.412,1.79,1.72,0.77,0.02,0.93,13.3,18.5,5
WL-OUT,21,8/21/2017,CMP 512,6.59,7.79,24.3,0.604,0.468,0.417,1.9,1.76,0.8,0.01,0.94,13.6,20,5.4
WL-OUT,22,8/21/2017,CMP 513,6.28,7.74,15.9,0.586,0.444,0.39,1.76,1.64,0.9,0.04,0.7,14.5,15.1,4
WL-OUT,23,8/21/2017,CMP 514,6.32,7.78,18.2,0.61,0.444,0.393,1.85,1.63,0.85,0.02,0.76,14.3,15.1,4.6
WL-OUT,24,8/21/2017,CMP 515,6.52,7.77,18,0.604,0.468,0.408,1.87,1.61,0.65,0.02,0.94,13.5,14,4.1
HL,1,8/22/2017,CMP 516,5.98,8.31,66.5,0.892,0.649,0.571,2.36,2.14,1.2,0,0.93,17,64.8,9.4
HL,2,8/22/2017,CMP 517,5.69,8.32,98.3,1.126,0.808,0.703,3.22,2.7,0.87,0,1.84,15.2,92.2,12.2
HL,3,8/22/2017,CMP 518,6.03,8.28,138,1.133,0.753,0.654,3.22,2.74,0.86,0,1.87,16.4,118.6,14.4
HL,4,8/22/2017,CMP 519,6.22,8.21,116,0.929,0.598,0.563,2.74,2.32,0.7,0,1.62,13.4,98.9,11.6
HL,5,8/22/2017,CMP 520,6.55,8.27,95.6,0.837,0.532,0.507,2.58,2.11,0.66,0,1.45,12.4,88.5,12.5
HL,6,8/22/2017,CMP 521,6.56,8.24,89.3,0.819,0.532,0.498,2.53,2.1,0.66,0.01,1.43,12.8,87.7,11.7
HL,7,8/22/2017,CMP 522,6.45,8.32,79.2,0.788,0.618,0.531,2.55,2.3,0.8,0,1.5,15.9,79.5,10.9
HL,8,8/22/2017,CMP 523,6.2,8.28,73.2,0.917,0.636,0.604,2.83,2.38,0.69,0,1.69,13.3,71.2,9.1
HL,9,8/22/2017,CMP 524,5.86,8.3,76.8,1.021,0.741,0.671,3.08,2.59,0.74,0,1.85,14,68.6,9.6
HL,10,8/22/2017,CMP 525,5.83,8.31,69.7,0.978,0.735,0.662,2.94,2.49,0.91,0,1.58,15.4,63.6,9.5
HL,11,8/22/2017,CMP 526,5.96,8.38,50.1,0.861,0.741,0.619,2.67,2.33,1.01,0,1.31,15.3,47.5,7.5
HL,12,8/22/2017,CMP 527,5.9,8.37,51.6,0.818,0.698,0.601,2.62,2.22,1.02,0,1.2,16.7,49.3,7.3
HL,13,8/22/2017,CMP 528,5.75,8.33,71.1,0.858,0.676,0.635,2.84,2.5,0.95,0,1.55,18.1,70.6,8.8
HL,14,8/22/2017,CMP 529,6.11,8.35,78.3,0.874,0.658,0.623,2.83,2.43,0.71,0,1.72,13.7,74.6,10
HL,15,8/22/2017,CMP 530,6.39,8.29,109,0.839,0.618,0.563,2.73,2.26,0.64,0,1.63,13,89.9,10.8
HL,16,8/22/2017,CMP 531,6.68,8.34,109,0.79,0.538,0.495,2.49,2.08,0.64,0,1.44,12.2,80.6,10.7
HL,17,8/22/2017,CMP 532,6.97,8.2,83.8,0.652,0.486,0.44,2.29,1.96,0.67,0,1.28,11.2,65.5,8.5
HL,18,8/22/2017,CMP 533,7.13,8.24,85.5,0.585,0.452,0.411,2.22,1.87,0.67,0.02,1.17,11.2,81.9,9.8
HL,19,8/22/2017,CMP 534,6.86,8.23,73.6,0.64,0.501,0.466,2.35,2.06,0.73,0,1.34,11.7,70.4,9.1
HL,20,8/22/2017,CMP 535,6.42,8.23,106,0.894,0.649,0.546,2.67,2.26,0.73,0,1.53,12.7,99.8,12.3
HL,21,8/22/2017,CMP 536,6.15,8.33,108,0.9,0.655,0.602,2.81,2.32,0.71,0,1.61,13.6,103,13.9
HL,22,8/22/2017,CMP 537,5.98,8.33,106.2,0.914,0.71,0.615,2.85,2.33,0.91,0,1.41,14.5,103,12.7
HL,23,8/22/2017,CMP 538,5.95,8.33,65.2,0.886,0.649,0.601,2.47,2.1,0.96,0,1.14,15.7,62.2,8.4
HL,24,8/22/2017,CMP 539,5.98,8.43,66.4,0.843,0.618,0.585,2.44,2.1,1.13,0,0.96,16.4,55.7,9.4
FM,1,8/23/2017,CMP 540,6.92,8.3,61.2,0.64,0.445,0.422,1.98,1.77,0.66,0.01,1.1,12.1,56,7.3
FM,2,8/23/2017,CMP 541,7.41,8.13,164,0.714,0.255,0.233,1.71,1.3,0.7,0,0.6,10.1,130.5,15.8
FM,3,8/23/2017,CMP 542,7.81,8.12,86.4,0.335,0.089,0.08,1.12,0.79,0.61,0,0.18,8,81.3,9.6
FM,4,8/23/2017,CMP 543,7.67,8.05,57,0.253,0.144,0.134,1.24,1.02,0.69,0,0.33,9.2,53.3,7
FM,5,8/23/2017,CMP 544,7.78,8.03,49.7,0.198,0.12,0.09,1.14,0.86,0.62,0,0.24,8,43.2,5.5
FM,6,8/23/2017,CMP 545,7.5,8.06,52,0.229,0.147,0.115,1.21,0.96,0.65,0,0.31,8.6,43.1,7
FM,7,8/23/2017,CMP 546,7.3,8.19,49.1,0.484,0.316,0.283,1.63,1.39,0.65,0,0.74,10.3,37.1,6.1
FM,8,8/23/2017,CMP 547,6.93,8.28,40.4,0.561,0.433,0.415,1.9,1.7,0.55,0,1.14,10.6,36,5.3
FM,9,8/23/2017,CMP 548,6.87,8.32,36.5,0.548,0.482,0.426,1.87,1.73,0.62,0,1.12,11.3,33,5
FM,10,8/23/2017,CMP 549,6.94,8.23,103.6,0.733,0.427,0.402,1.99,1.63,0.54,0,1.09,11.1,101,12.5
FM,11,8/23/2017,CMP 550,6.97,8.19,140.2,0.855,0.396,0.385,2.02,1.59,0.56,0,1.03,11.3,133,16
FM,12,8/23/2017,CMP 551,7.08,8.3,95.7,0.683,0.385,0.364,1.85,1.54,0.53,0,1.01,10.4,87.3,10.7
FM,13,8/23/2017,CMP 552,7.15,8.28,67,0.622,0.384,0.379,1.85,1.57,0.48,0,1.09,10,62.7,7.9
FM,14,8/23/2017,CMP 553,7.23,8.1,127.5,0.634,0.31,0.295,1.7,1.4,0.58,0,0.82,10.7,115,13.8
FM,15,8/23/2017,CMP 554,7.61,8.05,92.3,0.432,0.166,0.153,1.36,1.01,0.58,0,0.43,9.2,70,10.3
FM,16,8/23/2017,CMP 555,8.4,8.12,133.1,0.654,0.238,0.221,1.61,1.12,0.47,0,0.65,7.3,129,15.2
FM,17,8/23/2017,CMP 556,7.54,8.19,40.6,0.481,0.316,0.298,1.88,1.39,0.53,0,0.86,9.5,37.8,5.4
FM,18,8/23/2017,CMP 557,7.35,8.13,43.9,0.456,0.31,0.259,1.74,1.4,0.47,0,0.93,10,37.5,5.7
FM,19,8/23/2017,CMP 558,7.13,8.25,49.3,0.585,0.402,0.362,1.77,1.58,0.54,0.01,1.03,10.4,41.7,6.4
FM,20,8/23/2017,CMP 559,7.09,8.25,55.2,0.604,0.421,0.358,1.86,1.58,0.57,0.01,1.01,11.1,44.4,7.2
FM,21,8/23/2017,CMP 560,7.04,8.16,54.8,0.602,0.372,0.337,1.79,1.52,0.62,0.02,0.87,11.5,52.8,7.5
