Site,Bottle,Date,ID,EC_uScm,pH,Turbidity_ntu,TP_mgL,TDP_mgL,PO4P_mgL,TN_mgL,TDN_mgL,DON_mgL,NH4N_mgL,NO3N_mgL,DOC_mgL,TSS_mgL,VSS_mgL
PT,3,6/14/2017,CMP 82,2.11,8.25,57.2,0.988,0.7,0.665,4.43,4.01,1.34,0.05,2.62,14.4,54,8.8
PT,4,6/14/2017,CMP 83,2.12,8.28,56.9,0.896,0.675,0.629,4.08,3.75,1.28,0.06,2.42,13.8,39,6.6
PT,5,6/14/2017,CMP 84,2.21,8.3,49.6,0.929,0.712,0.627,4.53,3.51,1.13,0.07,2.3,12.8,34.2,6.3
PT,6,6/14/2017,CMP 85,2.27,8.35,47,1.053,0.82,0.726,4.34,3.89,0.92,0.1,2.87,10.8,41.6,7.4
PT,7,6/14/2017,CMP 86,2.35,8.36,45,1.007,0.864,0.776,4.57,4.27,1.2,0.07,3,12.2,41.1,7.5
PT,8,6/14/2017,CMP 87,2.23,8.38,37,0.971,0.82,0.738,4.18,3.41,0.77,0.06,2.59,11.2,30.8,5.8
PT,9,6/14/2017,CMP 88,2.27,8.42,46.6,1.062,0.813,0.73,4.38,3.33,0.74,0.04,2.55,11.6,43.7,7.5
PT,10,6/14/2017,CMP 89,2.4,8.36,38.3,1.007,0.839,0.76,4.59,3.52,0.65,0.03,2.84,11.1,29,6.2
PT,11,6/14/2017,CMP 90,2.21,8.32,44.3,1.053,0.832,0.747,4.12,3.57,0.61,0.05,2.9,11,41.1,7.7
PT,12,6/14/2017,CMP 91,2.31,8.36,46.4,1.008,0.807,0.734,4.39,3.37,0.66,0.05,2.67,10.6,42.8,8
PT,13,6/14/2017,CMP 92,2.25,8.26,42.4,0.929,0.762,0.687,4.02,3.33,0.74,0.07,2.53,11.1,34.3,7.3
PT,14,6/14/2017,CMP 93,2.12,8.31,42.1,0.942,0.743,0.659,3.75,3.06,0.64,0.06,2.37,11.2,31.7,6.3
PT,15,6/14/2017,CMP 94,2.11,8.33,43.1,0.887,0.731,0.654,3.88,3.1,0.69,0.04,2.36,10.8,29.4,6
PT,16,6/14/2017,CMP 95,2.29,8.32,46.3,0.934,0.769,0.692,3.76,3.26,0.65,0.06,2.55,11.4,42.3,7.8
PT,17,6/14/2017,CMP 96,2.38,8.26,47,1.009,0.813,0.749,4.57,3.43,0.76,0.05,2.62,11.3,46.1,8.5
PT,18,6/14/2017,CMP 97,2.35,8.19,54.4,0.952,0.75,0.67,3.52,2.91,0.7,0.05,2.16,12.2,51.7,9.4
PT,19,6/14/2017,CMP 98,2.7,8.25,48,0.91,0.674,0.599,3.54,2.55,0.78,0.05,1.71,11.5,42,8
PT,20,6/14/2017,CMP 99,2.77,8.17,51.1,0.782,0.579,0.492,2.46,2.29,0.82,0.05,1.43,13.6,47.8,9.1
